fiscal_yr,service_id,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,target_type,service_std_target,volume_meeting_target,total_volume,performance,gcss_tool_fiscal_yr,channel,standard_channel_comment_en,standard_channel_comment_fr,standard_comment_en,standard_comment_fr,realtime_result_url_en,realtime_result_url_fr
2017-2018,755,1488,2. Review of Application: The CBSA will aim to review the EDI application and communicate to the client within 10 business days the necessary course of action to be followed in the ensuing testing process.,2. Examen de la demande : L'ASFC tâche d'examiner la demande et de communiquer au demandeur dans un délai de 10 jours ouvrables les mesures à prendre lors du processus d'essai subséquent.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.9,3949,4171,0.94678,2017-2018,NA,NA,NA,NA,NA,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-fra.html
2017-2018,755,1686,"3. Initial Test: The initial test of each test package for using the EDI system ensures that all technical communication components between the client and the CBSA are interfaced correctly, allowing data to be processed by the CBSA and results returned. Upon transmission of the first test of each test package by the client to the CBSA, the CBSA will aim to send a notification to the client of a Pass or Fail result within 5 business days.","3. Essai initial : L'essai initial de chaque trousse de mise à l’essai pour l'utilisation du système d'EDI permet de s'assurer que toutes les composantes de communication techniques entre le client et l'ASFC soient échangées correctement, en vue du traitement des données par l'ASFC et du retour des résultats. Lorsque le premier essai de chaque trousse de mise à l’essai est transmis par le client à l'ASFC, celle-ci tâche d'envoyer au client un avis de réussite ou d'échec dans un délai de 5 jours ouvrables.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.9,68,72,0.94444,2017-2018,NA,NA,NA,NA,NA,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-fra.html
2017-2018,755,1489," 4. Final Test: Upon transmission of the final test of each test package by the client to the CBSA, having a Pass result leading to the successful completion of the test package, the CBSA will aim to send a notification to the client within 5 business days advising the client that permission has been given to electronically exchange commercial information with the CBSA's host system using EDI.","4. Essai final : Lorsque l'essai final pour l'utilisation du système d'EDI est transmis par le client à l'ASFC, et qu'il réussit, ce qui complète avec succès la trousse de mise à l’essai, l'ASFC tâche d'envoyer au client dans un délai de 5 jours ouvrables un avis informant celui-ci qu’il est maintenant autorisé à échanger de l'information de façon électronique au système hôte de l'ASFC en utilisant l’EDI.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.9,55,57,0.96491,2017-2018,NA,NA,NA,NA,NA,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-fra.html
2017-2018,731,1689, The CBSA will aim to process Customs Bonded Warehouse Licence applications within 60 business days from the date of the receipt of the complete application.,L'ASFC tâche de traiter les demandes d'agrément d'entrepôt de stockage des douanes dans un délai de 60 jours ouvrables à compter de la date de réception d'une demande complète.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.9,13,13,1,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,733,1690,The CBSA will aim to process customs sufferance warehouses licence applications within 60 business days from the date of the receipt of the complete application., L'ASFC tâche de traiter les demandes d'agrément d'entrepôt d'attente des douanes dans un délai de 60 jours ouvrables à compter de la date de réception d'une demande complète.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,20,20,1,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,734,1691,1. Customs Brokers Professional Examination. Results are mailed within four weeks (28 days) from date of exam.,1. Examen de compétences professionnelles des courtiers en douane. Les résultats sont postés dans un délai de quatre semaines (28 jours) à compter de la date de l'examen.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,147,147,1,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,734,1692,2. Customs Brokers Licensing. Applications are processed within 3 months (90 days) of a complete application.,2. Agrément de courtier en douane. Les demandes sont traitées dans un délai de 3 (90 jours) mois suivant la réception d'une demande complète.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,16,25,0.64,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,740,1694,The CBSA will aim to process applications no later than 90 calendar days from the date of receipt of a correctly completed and supported application.,Cette norme de service s'applique à la réception de la garantie et au privilège associé à la mainlevée des expéditions importées avant le paiement des droits et des taxes. L'ASFC tâche d'envoyer à l'importateur un accusé de réception de la garantie dans un délai de 21 jours civils.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.9,21,21,1,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,741,1695,"The CBSA will aim to process an application for a new duty free shop licence within 90 calendar days of receipt of a correctly completed application. Only complete applications that meet all of the program requirements, as set out in the Duty Free Shop Regulations, and that include all required supporting documentation will be considered.","L'ASFC tâche de traiter la demande de nouvel agrément de boutique hors taxes dans un délai de 90 jours civils à compter de la date d'échéance pour la présentation des demandes. Seules les demandes complètes qui répondent à toutes les exigences du programme prévues par le Règlement sur les boutiques hors taxes, et qui sont accompagnées de tous les documents à l'appui requis, sont étudiées.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,2,2,1,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,742,1696,"The CBSA issues letters of determination in relation to CTL applications to obtain a licence for temporary admission to the coasting trade of Canada. For more information, please see the Application for Vessel Temporary Admission to the Coasting Trade of Canada.","Diffusion des lettres d'autorisation et de refus de l'ASFC en ce qui concerne les demandes de licence de cabotage afin d'obtenir une licence pour l'admission d'un navire aux fins de cabotage au Canada. Pour de plus amples renseignements, veuillez consulter la page sur la Demande d'admission temporaire d'un navire pour fins de cabotage au Canada de notre site web.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,103,103,1,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,723,1500,"1.  Issuance of Cultural Property Export Permits (Simplified). Cultural property export permits that do not require the assistance or review of an expert examiner when all documents are in order, will be issued within two (2) business days of a request.","1. Délivrance des licences d'exportation de biens culturels (simplifiée). Délivrance d'une licence d'exportation de biens culturels qui n'exige pas l'intervention d'un expert-vérificateur lorsque tous les documents sont en ordre, dans un délai de deux jours ouvrables à la suite d'une demande.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,147,165,0.89091,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,723,1501,2. Issuance of Cultural Property Export Permits (Expert Review). Cultural property export permits that require the assistance or review of an expert examiner will be issued within twenty (20) business days of a request.,"2.  Délivrance des licences d'exportation de biens culturels (expert-vérificateur).  Délivrance d'une licence d'exportation de biens culturels qui exige l'intervention d'un expert-vérificateur, dans un délai de 20 jours ouvrables à la suite d'une demande.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.75,72,109,0.66055,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,728,427,Commercial Release  Post-arrival Electronic Data Interchange (EDI) RMDs will provide a release decision within 45 minutes.,Mainlevée dans le secteur commercial     Une décision de mainlevée est rendue dans un délai de 45 minutes pour la MDM au moyen de l'échange de données informatisé (EDI) après l'arrivée.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.7,591082,967740,0.61079,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,743,1697,The CBSA will aim to process casual refunds within 30 business days of receipt of claims and all requisite supporting documentation.,L'ASFC tâche de traiter le remboursement pour les importations occasionnelles dans un délai de 30 jours ouvrables suivant la réception de la demande et de tous les documents à l'appui requis.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.9,146535,146535,1,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,744,1698,The CBSA will aim to process B2 commercial adjustments within 90 calendar days of receipt of a claim and all requisite supporting documentation.,L'ASFC tâche de traiter les rajustements du secteur commercial (B2) dans un délai de 90 jours civils suivant la réception de la demande et de tous les documents à l'appui requis.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.9,121912,164232,0.74232,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,745,448,The CBSA will aim to issue advance rulings for tariff classification and origin (free trade agreements) and National Customs Rulings no more than 120 calendar days from the date of receipt of complete information upon which a ruling may be based.,L'ASFC tâche de rendre des décisions anticipées concernant le classement tarifaire et l'origine (accords de libre-échange) et des décisions nationales des douanes au plus tard dans un délai de 120 jours civils à compter de la date de réception de l'information complète sur laquelle une décision peut se fonder.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.9,1233,1390,0.88705,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,746,449,The CBSA will aim to process drawback claims no later than 90 calendar days from the date of receipt of the correctly completed and documented application.,L'ASFC tâche de traiter les demandes de remboursement au plus tard dans un délai de 90 jours civils à compter de la date de réception d'une demande correctement remplie et étayée.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.9,2783,3185,0.87378,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,664,270,"Within 30 business days of receipt of a complete application, applicants are informed of their eligibility in whether they have reached the interview stage.","Dans un délai de 30 jours ouvrables suivant la réception d'une demande complète, les demandeurs sont informés de leur admissibilité ou non à l'étape de l'entrevue.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,118566,300377,0.39472,2017-2018,NA,NA,NA,NA,NA,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-fra.html
2017-2018,665,271,"Within 30 business days of receipt of a complete application, applicants are informed whether their application is approved.","Dans un délai de 30 jours ouvrables suivant la réception d'une demande complète, les demandeurs sont informés de l'approbation ou du rejet de leur demande.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,2923,3081,0.94872,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,667,272,"Within 30 business days of receipt of a complete application, applicants are informed of their eligibility in whether they have reached the interview stage.","Dans un délai de 30 jours ouvrables suivant la réception d'une demande complète, les demandeurs sont informés de leur admissibilité ou non à l'étape de l'entrevue.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,11250,11250,1,2017-2018,NA,NA,NA,NA,NA,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-fra.html
2017-2018,668,1531,"Within 30 business days of receipt of a complete application, applicants are informed whether their application is approved.","Dans un délai de 30 jours ouvrables suivant la réception d'une demande complète, les demandeurs sont informés de l'approbation ou du rejet de leur demande.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,532,533,0.99812,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,669,1536,"Border Wait Times - Highway Traveller: The estimated wait times for travellers reaching the primary inspection booth, the first point of contact with the CBSA when crossing the Canada/US land border:  •10 minutes on weekdays (Monday to Thursday) 
•20 minutes weekends (Friday, Saturday, Sunday) and holidays.","Temps d'attente à la frontière pour les voyageurs - mode routier : Il s'agit des temps d'attente prévus pour les voyageurs avant d'arriver à la guérite de l'inspection primaire, le premier point de contact avec l'ASFC à la frontière terrestre canado-américaine :
•10 minutes les jours de semaine (du lundi au jeudi); 
•20 minutes les fins de semaine (du vendredi au dimanche) et les jours fériés.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,0,0,ND,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,679,1538,"1. Interactive voice responses are available 24 hours a day, 7 days a week.","1. Des réponses vocales interactives sont offertes 24 heures sur 24, 7 jours sur 7.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,657788,657788,1,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,679,1539,"2. BIS will aim to answer calls within 60 seconds from the moment the client presses ""0"" to speak to an agent.",2. Les agents tâchent de répondre aux appels dans un délai de 60 secondes à compter du moment où le demandeur appuie sur le « 0 » pour parler à un agent.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.8,230494,293713,0.78476,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,680,2135,1. Requests for special services are acknowledged within 1 working day of receipt.,1. Il y a accusé de réception des demandes de services spéciaux dans un délai de 1 jour ouvrable suivant la réception de ces demandes.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,1,1257,1290,0.97442,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,680,2134,"2. Upon completion of the service, a detailed invoice is provided, itemizing the special services completed and the associated fees for these services. This ensures transparency and consistency within the billing process.","2. Une fois le service fourni, une facture détaillée est présentée, sur laquelle sont énumérés les services spéciaux fournis et les frais afférents à ces services, aux fins de transparence et d'uniformité du processus de facturation.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,1,1271,1290,0.98527,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,1548,1542,"Event Queries. The International Events Section (IES) section will aim to respond to clients' queries (mail, email, fax or phone) and online registrations within 2 business days.","Demandes de renseignements. La Section des événements internationaux (SEI) tâche de répondre aux demandes de renseignements des demandeurs (par courrier, courriel, télécopieur ou téléphone), et de donner suite aux inscriptions en ligne, dans un délai de 2 jours ouvrables.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,854,854,1,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,1548,1543,Event Recognition Decisions. The  International Events Section (IES) section will endeavour to render a decision and provide written communication 2 business days prior to the events start date.,Reconnaissance des événements.  La Section des événements internationaux (SEI) tâche de rendre une décision et de fournir une communication par écrit 2 jours ouvrables avant la date de début de l'événement.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,1270,1270,1,2017-2018,NA,NA,NA,NA,NA,n/a,NA
2017-2018,748,465,1. The CBSA will aim to contact the client within 14 calendar days after a written complaint is received.,1. L'ASFC tâche de communiquer avec le demandeur dans un délai de 14 jours civils suivant la réception d'une plainte par écrit.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.85,1814,2128,0.85244,2017-2018,NA,NA,NA,NA,NA,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-fra.html
2017-2018,748,466,2. The CBSA will aim to provide a final written response to the client within 40 calendar days after a written complaint is received.,"2. L'ASFC tâche de fournir une réponse finale, par écrit, au demandeur dans un délai de 40 jours civils suivant la réception d'une plainte par écrit.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.85,2365,2437,0.97046,2017-2018,NA,NA,NA,NA,NA,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-fra.html
2017-2018,749,467,1.  The CBSA will aim to acknowledge the receipt of the client's enforcement appeal submission within 10 calendar days.,1. L'ASFC tâche d'accuser réception de l'appel portant sur une mesure d'exécution du demandeur dans un délai de 10 jours civils.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.9,3126,3712,0.84213,2017-2018,NA,NA,NA,NA,NA,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-fra.html
2017-2018,749,473,2. Enforcement appeals decided in 180 calendar days.,2. Les appels portant sur des mesures d'exécution sont tranchés dans un délai de 180 jours civils.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.8,3312,4151,0.79788,2017-2018,NA,NA,NA,NA,NA,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-fra.html
