fiscal_yr,service_id,service_name_en,service_name_fr,department_name_en,department_name_fr,service_description_en,service_description_fr,external_internal,service_type,special_designations,service_recipient_type,service_url_en,service_url_fr,program_name_en,program_name_fr,last_GBA,ident_platform,client_target_groups,info_service,service_fee,cra_business_number,use_of_sin,assessed_for_accessibility,year_of_last_service_review,year_of_last_service_improvement_based_on_client_feedback,calls_received,web_visits_info_service,online_applications,telephone_applications,telephone_enquiries,in_person_applications,postal_mail_applications,email_applications,fax_applications,other_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr
2020-2021,243,Species at Risk Act Permit System,Système de permis de la Loi sur les espèces en péril,Environment and Climate Change Canada,Environnement et Changement climatique Canada,"Online applications for activities affecting a terrestrial SARA listed wildlife species on federal lands, excluding Parks Canada lands.","Permis pour les activités touchant des espèces terrestres inscrites sur l'Annexe 1 de la LEP sur des terres fédérales, à l'exclusion des terres de Parcs Canada.",extern,lrp,essent,client,https://wildlife-species.canada.ca/SPLEP-SARAPS/index.cfm?fuseaction=home.main&lang=En,https://wildlife-species.canada.ca/SPLEP-SARAPS/index.cfm?fuseaction=home.main&lang=Fr,Species at Risk,Espèces en péril,,oth,"NGO,person",N,N,NA,NA,EN 301-549 (2018),,,no_data,no_data,72,not_applicable,no_data,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,Y,Y,Y,Y,N,N,eml,"A total of 72 applications were received via the SARA permit system in 2020-21 (note: the number is not a reflection of how many permits were issued in the same timeframe). The service is not an information service but a permit system - the traffic volume to the website is unknown. Phone inquiries are sometimes received (mainly at regional offices), however, these are not tracked since any resulting permit applications would still need to be submitted through the online permit system.  There are no applications accepted via mail or in person. The number of telephone inquiries and website visits is not tracked. ECCC has determined the CRA Business Number is ""Not Applicable"" for its permit services.","En tout, 72  demandes ont été reçues via le système de permis de la LEP en 2020-2021. Ce service n'est pas un service d'information mais un système de délivrance de permis (remarque: le nombre ne reflète pas le nombre de permis délivrés dans le même délai) ; le nombre de consultations du site Web est inconnu. Des demandes de renseignement sont parfois reçues (principalement aux bureaux régionaux). Toutefois, elles ne font pas l'objet d'un suivi, car les demandes de permis résultantes doivent être soumises dans le système de permis en ligne.  Il n'y a pas d'applications acceptées par la poste ou en personne. Le nombre de demandes téléphoniques et de visites sur le site web ne fait pas l'objet d'un suivi.  ECCC a déterminé que le numéro d'entreprise de l'ARC est ""Sans objet"" pour ses services de délivrance de permis."
2020-2021,980,Climate Change Funding Programs - Climate Action Fund,Le Fonds d’action pour le climat,Environment and Climate Change Canada,Environnement et Changement climatique Canada,The Climate Action Fund provides funding in support of innovative ideas. The objective of the projects funded under the program is to raise awareness within the population about climate change and to build capacity in order to increase climate actions that contribute to Canada's clean growth and climate change plan (the Pan-Canadian Framework on Clean Growth and Climate Change).,Le Fonds d’action pour le climat fournit un financement pour appuyer des idées novatrices. L’objectif des projets financés dans le cadre de ce programme consiste à sensibiliser la population aux changements climatiques et à renforcer les capacités afin d’accroître la prise de mesures climatiques qui contribuent à la croissance propre du Canada et à son plan sur les changements climatiques (Cadre pancanadien sur la croissance propre et les changements climatiques).,extern,gnc,non,client,https://www.canada.ca/en/environment-climate-change/services/climate-change/climate-action-fund.html,https://www.canada.ca/fr/environnement-changement-climatique/services/changements-climatiques/fonds-action-climat.html,Clean Growth and Climate Change Mitigation/Climate Change Adaptation,Croissance propre et atténuation des changements climatiques/Adaptation aux changements climatiques,,ex_auth,"econom,person",N,N,N,N,na,,2020,not_applicable,not_applicable,421,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,Y,Y,Y,Y,N,N,onl,,
2020-2021,982,Ministerial Correspondence,Correspondance ministérielle,Environment and Climate Change Canada,Environnement et Changement climatique Canada,Management of ministerial correspondance (incoming/outgoing),Gestion de la correspondance ministérielle (entrante/sortante),extern,"info,res",non,client,https://www.canada.ca/en/environment-climate-change.html,https://www.canada.ca/fr/environnement-changement-climatique.html,Communications Services,Services de communication,,,"econom,enviro,for,NGO,person,PTC",N,N,NA,NA,not assessed,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,852,18226,not_applicable,not_applicable,N,N,N,N,N,N,"eml,post",,
2020-2021,987,Migratory Birds: all other permits,Oiseaux migrateurs: autres permis,Environment and Climate Change Canada,Environnement et Changement climatique Canada,"Applications for migratory game birds permits for other activities than hunting (e.g., airport, aviculture, damage or danger, eiderdown, scientific, and taxidermist)","Permis pour les activités autres que de la chasse impliquant des oiseaux migrateurs (e.g., aéroport, aviculture, nuisible ou dangereux, cueillette de duvet d'eider, scientifique, et taxidermie).",extern,lrp,essent,client,https://www.canada.ca/en/environment-climate-change/services/migratory-bird-permits/application-forms.html,https://www.canada.ca/fr/environnement-changement-climatique/services/permis-oiseaux-migrateurs/formulaires-demande.html,Migratory Birds and Other Wildlife,Oiseaux migrateurs et autres espèces sauvages,,oth,person,N,Y,NA,NA,na,2019,,no_data,no_data,not_applicable,not_applicable,no_data,not_applicable,no_data,no_data,no_data,3033,N,N,N,N,N,N,"eml,fax,person,post,tel","Service offered by CWS regional offices and not offered online. 
The number of telephone inquiries, website visits, mail applications, email applications, and fax applications is not tracked. 
ECCC has determined the CRA Business Number is ""Not Applicable"" for its permit services.","Service fourni par les bureaux régionaux du SCF et non offert en ligne. 
Le nombre de demandes téléphoniques, de visites sur le site web, d'applications par courrier, d'applications par courriels, et d'applications par fax ne fait pas l'objet d'un suivi. 
ECCC a déterminé que le numéro d'entreprise de l'ARC est ""Sans objet"" pour ses services de délivrance de permis."
2020-2021,2007,"Ice Warnings, Forecasts and Information","Avertissements, prévisions et informations sur les glaces",Environment and Climate Change Canada,Environnement et Changement climatique Canada,"This service provides timely and accurate information about ice in Canada's navigable waters to the Canadian Coast Guard (CCG) and mariners in support of safe and efficient navigation: information about icebergs for east coast Canadian waters south of 60N, ice climatology and tools, and an annual Atlas of winter Arctic Ice conditions. Daily ice forecasts and charts are provided where there is ice and known marine activity and contain information about ice concentration, ice edge, stage of development, floe size, drift velocity and with appropriate level of resolution. The Canadian Ice Service will ensure charts and forecasts are produced seven days a week with no interruption longer than 24 hours. The ice information is accessible online or via the CCG marine radio, or Secure File Transfer Protocol (SFTP) service for low bandwidth users, and is available instantly in a self-service manner.","Ce service fournit à la Garde côtière canadienne (GCC) et aux marins des informations précises et opportunes sur les glaces dans les eaux navigables du Canada, afin de favoriser une navigation sûre et efficace : des informations sur les icebergs de la côte est du Canada au sud du 60e parallèle, sur la climatologie et les outils de glace, ainsi qu'un atlas annuel des conditions hivernales des glaces arctiques. Des prévisions et des cartes quotidiennes des glaces sont fournies lorsqu'il y a de la glace et une activité marine connue et contiennent des informations sur la concentration des glaces, la lisière des glaces, leur stade de développement, la taille des floes, la vitesse de dérive et avec un niveau de résolution approprié. Le Service canadien des glaces veillera à ce que les cartes et les prévisions soient produites sept jours sur sept, sans interruption de plus de 24 heures. L’information est accessible en ligne, sur la radio maritime de la GCC ou via un protocole de transfert de fichiers sécurisé pour les utilisateurs à faible bande passante, et est disponible instantanément et en libre-service.","extern,enterprise",info,"essent,prior",client,https://www.canada.ca/en/environment-climate-change/services/ice-forecasts-observations/latest-conditions.html,https://www.canada.ca/fr/environnement-changement-climatique/services/previsions-observations-glaces/conditions-glaces-plus-recentes.html,"Weather and Environmental Observations, Forecasts and Warnings","Observations, prévisions et avertissements météorologiques et environnementaux",,,"econom,for,intern_gov,person",Y,N,NA,NA,WCAG 2.1 AA,2020,2020,not_applicable,304994,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,NA,NA,NA,NA,Y,Y,"eml,fax,onl,post","This Advisory and Information Service is not a transactional e-service. Ice information is accessible online or via the Canadian Coast Guard marine radio, or Secure File Transfer Protocol (SFTP) service for low bandwidth users, and is available instantly in a self-service manner: it does not require a user's account nor an application, and there is no final outputs issued such as payments or requests completed.","Ce Service Consultatif et d'Information n'est pas un service transactionnel électronique. L’information est accessible en ligne, sur la radio maritime de la GCC ou via un protocole de transfert de fichiers sécurisé pour les utilisateurs à faible bande passante, et est disponible instantanément et en libre-service: l'accès au service ne requière pas de compte d'utilisateur ni d’application et il n'y a pas d'opérations finales effectuées tels que des paiements émis ou des demandes complétées."
2020-2021,1092,Science Horizons Youth Internship Program,Programme de stages Horizons Sciences pour les jeunes,Environment and Climate Change Canada,Environnement et Changement climatique Canada,"The Science Horizons Youth Internship Program provides wage subsidies to eligible employers to hire university, college and polytechnic graduates in science, technology, engineering, and mathematics (STEM).

Up to $15,000 in funding is available to employers for internships in the environmental and clean technology sectors.

Internship opportunities lasting 6 to 12 months provide youth hands-on experience working on environmental projects.","Le Programme de stages Horizons Sciences pour les jeunes offre des subventions salariales aux employeurs admissibles pour embaucher des stagiaires détenteurs d’un diplôme universitaire, collégial ou d’une école polytechnique en sciences, technologies, ingénierie ou mathématiques (STIM).

Un financement d’au plus 15 000 $ est offert aux employeurs des secteurs de l’environnement et des technologies propres pour qu’ils accueillent des stagiaires.

Les stages d’une durée de 6 à 12 mois permettent aux jeunes d’acquérir une expérience de travail pratique en participant à des projets environnementaux.",extern,gnc,non,client,https://www.canada.ca/en/environment-climate-change/services/science-technology/managing/horizons-youth-internship-program.html,https://www.canada.ca/fr/environnement-changement-climatique/services/sciences-technologies/gestion/programme-stages-horizons-sciences-jeunes.html,Community Eco-Action,ÉcoAction communautaire,,,person,N,N,NA,NA,na,,,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,NA,NA,NA,NA,NA,NA,"eml,post",,
2020-2021,1208,Environmental Funding - Community Interaction Program,Programme Interactions communautaires,Environment and Climate Change Canada,Environnement et Changement climatique Canada,This is a funding program that promotes community projects that conserve and improve the St. Lawrence ecosystem. The program is part of the St. Lawrence Action Plan 2011-2026. Only available to applicants in Quebec.,Le Programme Interactions communautaires (PIC) est un programme d’aide financière appuyant la réalisation de projets communautaires visant à conserver et améliorer l’écosystème du Saint-Laurent.,extern,gnc,non,,https://www.canada.ca/en/environment-climate-change/services/environmental-funding/programs/community-interaction-program.html,https://www.canada.ca/fr/environnement-changement-climatique/services/financement-environnement/programmes/programme-interactions-communautaires.html,Water Quality and Ecosystems Partnerships,Qualité de l'eau et partenariat sur les écosystèmes,,oth,NGO,N,N,NA,NA,,,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,Y,Y,Y,N,N,"eml,post,tel",,
2020-2021,986,Permits for trade in protected species,Permis pour le commerce d’espèces protégées,Environment and Climate Change Canada,Environnement et Changement climatique Canada,"Any import, export or re-export of Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)-listed species has to be authorized through a permitting system.  Environment and Climate Change Canada and its partners are responsible for issuing CITES permits and certificates. A specimen of CITES-listed species may be imported or exported (or re-exported) only if the appropriate permit or certificate has been obtained and presented for clearance at the port of entry or port of exit.","Toute importation, exportation ou réexportation d'espèces inscrites aux annexes de la convention sur le commerce international des espèces de faune et de flore sauvages menacées d'extinction (CITES) doit être autorisée par le biais d'un système de permis. Environnement et Changement climatique Canada et ses partenaires sont responsables d'émettre les permis ou certificats de la CITES. Il est possible d'importer ou d'exporter (ou de réexporter) un spécimen d'espèce inscrit aux annexes de la CITES à condition d'avoir obtenu et présenter le permis ou le certificat approprié l'autorisant à franchir le port d'entrée ou de sortie.",extern,lrp,essent,client,https://www.canada.ca/en/environment-climate-change/services/convention-international-trade-endangered-species/permits.html/https://www.canada.ca/en/environment-climate-change/services/convention-international-trade-endangered-species/permits.html,https://www.canada.ca/fr/environnement-changement-climatique/services/convention-commerce-international-especes-menacees-extinction/permis.html/https://www.canada.ca/fr/environnement-changement-climatique/services/convention-commerce-international-especes-menacees-extinction/permis.html,Migratory Birds and Other Wildlife,Oiseaux migrateurs et autres espèces sauvages,,oth,person,N,N,NA,NA,not assessed,2017,2017,1200,no_data,not_applicable,not_applicable,1200,not_applicable,no_data,no_data,no_data,2700,N,N,N,N,N,N,"eml,fax,post","Applications are received by mail, email or fax (no distinction is made on the channel they are received). ECCC has determined the CRA Business Number is ""Not Applicable"" for its permit services.","Les demandes sont reçues par courriel, courrier postal, et fax (aucune distinction n'est faite parmi les modes de prestation). ECCC a déterminé que le numéro d'entreprise de l'ARC est ""Sans objet"" pour ses services de délivrance de permis."
2020-2021,2031,Canadian Shellfish Sanitation Program (Emergency (bi-valve) shellfish area closure recommendations),Programme canadien de contrôle de la salubrité des mollusques (Recommandations pour la fermeture d'urgence de la zone des mollusques),Environment and Climate Change Canada,Environnement et Changement climatique Canada,"Canadian Shellfish Sanitation Program (Emergency (bi-valve) shellfish area closure recommendations) (CSSP) is a federal food safety program jointly administered by the Canadian Food Inspection Agency (CFIA), Environment and Climate Change Canada (ECCC) and Fisheries and Oceans Canada (DFO). The goal of the program is to minimize the health risks associated with the consumption of contaminated bivalve molluscan shellfish such as mussels, oysters and clams. Under the CSSP, the Government of Canada implements controls to verify that only shellfish that meet food safety and quality standards reach domestic and international markets.","Le Programme canadien de contrôle de la salubrité des mollusques (PCCSM) est un programme fédéral de salubrité des aliments administré conjointement par l'Agence canadienne d'inspection des aliments (ACIA), Environnement et Changement climatique Canada (ECCC) et Pêches et Océans Canada (MPO). L'objectif du programme est de réduire au minimum les risques pour la santé associés à la consommation de mollusques bivalves contaminés, comme les moules, les huîtres, les myes et les palourdes.
Dans le cadre du PCCSM, le gouvernement du Canada met en œuvre des mesures de contrôle pour s'assurer que seuls les mollusques qui satisfont aux normes en matière de salubrité et de qualité des aliments se retrouvent sur les marchés canadiens et étrangers.",extern,apir,non,client,,,Water Quality and Ecosystems Partnerships,Qualité de l'eau et partenariat sur les écosystèmes,,,intern_gov,N,N,NA,NA,na,,,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,NA,NA,NA,NA,NA,NA,onl,,
2020-2021,2038,Permits for Migratory Bird Sanctuary Regulations,Permis en vertu du Règlement sur les refuges d'oiseaux migrateurs,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ECCC issues permits to undertake certain activities within a Migratory Bird Sanctuary (MBS) under the Migratory Bird Sanctuary Regulations (MBSR) each year.,Chaque année ECCC délivre des permis pour entreprendre certaines activités dans un refuge d’oiseaux migrateur (ROM) en vertu du Règlement sur les refuges d’oiseaux migrateurs (RROM).,extern,lrp,non,client,,,Migratory Birds and Other Wildlife/Habitat Conservation and Protection,Oiseaux migrateurs et autres espèces sauvages/Conservation et protection des habitats,,oth,person,N,N,NA,NA,na,2019,,no_data,no_data,not_applicable,not_applicable,no_data,not_applicable,no_data,no_data,no_data,98,N,N,N,N,N,N,"eml,fax,person,post,tel","Service offered by CWS regional offices and not offered online. 
The number of telephone inquiries, website visits, mail applications, email applications, and fax applications is not tracked. 
ECCC has determined the CRA Business Number is ""Not Applicable"" for its permit services.","Service fourni par les bureaux régionaux du SCF et non offert en ligne. 
Le nombre de demandes téléphoniques, de visites sur le site web, d'applications par courrier, d'applications par courriels, et d'applications par fax ne fait pas l'objet d'un suivi. 
ECCC a déterminé que le numéro d'entreprise de l'ARC est ""Sans objet"" pour ses services de délivrance de permis."
2020-2021,267,Environmental Funding - Habitat Stewardship Program,Programme d'intendance de l'habitat pour les espèces en péril,Environment and Climate Change Canada,Environnement et Changement climatique Canada,The Habitat Stewardship Program (HSP) provides funding for projects submitted by Canadians that contribute directly to the recovery objectives and population goals of species at risk listed on Schedule 1 of the Species at Risk Act (SARA) and prevent others from becoming a conservation concern.,Le Programme d’intendance de l’habitat (PIH) finance les projets présentés par des Canadiens qui contribuent directement aux objectifs liés au rétablissement et aux populations des espèces en péril qui figurent à l’annexe 1 de la Loi sur les espèces en péril (LEP) et qui empêchent que les autres espèces ne deviennent une préoccupation en matière de conservation.,extern,"gnc,res",non,client,https://www.canada.ca/en/environment-climate-change/services/environmental-funding/programs/habitat-stewardship-species-at-risk.html/https://www.canada.ca/en/environment-climate-change/services/environmental-funding/programs/habitat-stewardship-species-at-risk.html,https://www.canada.ca/fr/environnement-changement-climatique/services/financement-environnement/programmes/intendance-habitat-especes-en-peril.html/https://www.canada.ca/fr/environnement-changement-climatique/services/financement-environnement/programmes/intendance-habitat-especes-en-peril.html,Species at Risk,Espèces en péril,2016-2017,ex_auth,"econom,enviro,NGO,person,PTC",N,N,NA,N,not assessed,,,no_data,no_data,137,not_applicable,no_data,not_applicable,not_applicable,0,not_applicable,not_applicable,Y,Y,Y,Y,N,N,onl,"In FY20-21, the Environmental Funding - Habitat Stewardship Program program has used for the first time the Grants and Contributions Enterprise Management System (GCEMS) for applicants to complete and submit funding applications. Thus, no improvements have been made based on client feedback yet.  
The number of submitted applications does not represent the number of projects that were funded. The Program does not accept in-person applications, mail applications or other channel applications. 
Since the program is coordinated nationally, but administered regionally, we cannot provide a number for the number of phone inquiries, since calls can be received by the regional coordinators.  
We are unable to provide a number for the website visits as the coordinating group in NCR does not track this. Additionally, two websites would be needed to be considered: the Program website and the Online application system, which are managed by two different groups.","Au cours l’année financière 2020-2021, le Programme d'intendance de l'habitat pour les espèces en péril a utilisé pour la première fois le Système de gestion d'entreprise des subventions et des contributions (SGESC), pour que les requérants puissent compléter et soumettre leurs demandes de financement. Par conséquent, aucune amélioration n’a encore été apportée au service sur la base des commentaires de clients. 
Le nombre de demandes soumises ne représente pas le nombre de projets financés. Le programme n'accepte pas les demandes en personne, par courrier ou par tout autre moyen. 
Dans la mesure où le programme est géré au niveau national, mais administré par les bureaux régionaux, nous ne pouvons fournir d'information concernant le nombre d'appels téléphoniques ; et ce, parce que les coordonnateurs régionaux peuvent recevoir ces appels. 
Nous ne sommes pas en mesure de fournir d'indication concernant le nombre de consultations du site Web car l'équipe de la RCN qui coordonne le programme n'en fait aucun suivi. De plus, deux sites Web seraient nécessaires : un site Web pour le programme et un pour le système de demandes en ligne, qui sont gérés par deux groupes différents."
2020-2021,265,Environmental Funding - Lake Winnipeg Basin Program,Le programme du bassin du lac Winnipeg,Environment and Climate Change Canada,Environnement et Changement climatique Canada,"Large and frequent algal blooms in Lake Winnipeg are the result of high nutrient levels from international and domestic transboundary sources such as agriculture, industry, municipal wastewater and surface run-off.  In order to improve the ecological health of the lake and its basin, we fund projects that:
•reduce nutrient loading
•enhance collaboration
•support enhanced engagement of Indigenous Peoples","Les proliférations importantes et régulières d’algues dans le lac Winnipeg sont liées aux niveaux élevés d’éléments nutritifs d’origine transfrontalière international et domestique qui proviennent entre autres de l’agriculture, de l’industrie, d’eaux usées municipales et de ruissellements en surface. Pour améliorer la santé écologique du lac et de son bassin, nous finançons les projets qui contribuent à :
•la réduction des charges en éléments nutritifs;
•la collaboration;
•la participation accrue des peuples autochtones.",extern,gnc,non,,https://www.canada.ca/en/environment-climate-change/services/water-overview/comprehensive-approach-clean/lake-winnipeg.html,https://www.canada.ca/fr/environnement-changement-climatique/services/eau-apercu/assainissement-approche-globale/lac-winnipeg.html,Water Quality and Ecosystems Partnerships,Qualité de l'eau et partenariat sur les écosystèmes,2016-2017,ex_auth,"enviro,NGO,PTC",N,N,NA,NA,,,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,Y,Y,N,N,N,"eml,fax,onl,tel",,
2020-2021,254,Environmental Funding - Aboriginal Fund for Species at Risk,Fonds autochtone pour les espèces en péril,Environment and Climate Change Canada,Environnement et Changement climatique Canada,The Aboriginal Fund for Species at Risk (AFSAR) supports the development of Indigenous capacity to participate actively in the implementation of the Species at Risk Act (SARA) and supports projects that will proactively prevent other species from becoming a conservation concern.,"Le Fonds autochtone pour les espèces en péril (FAEP) appui le renforcement de la capacité des Autochtones à participer activement à l'application de la Loi sur les espèces en péril (LEP). En outre, le Fonds soutient les projets qui évitent, de façon proactive, que la conservation d'espèces qui ne sont pas inscrites sous la LEP ne devienne un sujet de préoccupation.",extern,"gnc,res",non,client,https://www.canada.ca/en/environment-climate-change/services/environmental-funding/programs/aboriginal-fund-species-risk.html/https://www.canada.ca/en/environment-climate-change/services/environmental-funding/programs/aboriginal-fund-species-risk.html,https://www.canada.ca/fr/environnement-changement-climatique/services/financement-environnement/programmes/fonds-autochtone-especes-peril.html/https://www.canada.ca/fr/environnement-changement-climatique/services/financement-environnement/programmes/fonds-autochtone-especes-peril.html,Species at Risk,Espèces en péril,2016-2017,ex_auth,"econom,enviro,NGO,person,PTC",N,N,NA,N,not assessed,,,no_data,no_data,92,not_applicable,no_data,not_applicable,not_applicable,0,not_applicable,not_applicable,Y,Y,Y,Y,N,N,onl,"The ""Clients/Target Groups"" Field should reflect that the program's target groups must be Indigenous or mandated by Indigenous eligible recipients.
In FY20-21, the AFSAR program has used for the first time the Grants and Contributions Enterprise Management System (GCEMS) for applicants to complete and submit funding applications. Thus, no improvements have been made based on client feedback yet.  
The number of submitted applications does not represent the number of projects that were funded. The Program does not accept in-person applications, mail applications or other channel applications. 
Since the program is coordinated nationally, but administered regionally, we cannot provide a number for the number of phone inquiries, since calls can be received by the regional coordinators.  
We are unable to provide a number for the website visits as the coordinating group in NCR does not track this. Additionally, two websites would be needed to be considered: the Program website and the Online application system, which are managed by two different groups.","Le champ ""Clients/Groupes cibles"" devrait refléter le fait que les groupes cibles du programme doivent être autochtones ou mandatés par des bénéficiaires admissibles autochtones.
Au cours l’année financière 2020-2021, le Fonds autochtone pour les espèces en péril a utilisé pour la première fois le Système de gestion d'entreprise des subventions et des contributions (SGESC), pour que les requérants puissent compléter et soumettre leurs demandes de financement. Par conséquent, aucune amélioration n’a encore été apportée au service sur la base des commentaires de clients. 
Le nombre de demandes soumises ne représente pas le nombre de projets financés. Le programme n'accepte pas les demandes en personne, par courrier ou par tout autre moyen. 
Dans la mesure où le programme est géré au niveau national, mais administré par les bureaux régionaux, nous ne pouvons fournir d'information concernant le nombre d'appels téléphoniques ; et ce, parce que les coordonnateurs régionaux peuvent recevoir ces appels. 
Nous ne sommes pas en mesure de fournir d'indication concernant le nombre de consultations du site Web car l'équipe de la RCN qui coordonne le programme n'en fait aucun suivi. De plus, deux sites Web seraient nécessaires : un site Web pour le programme et un pour le système de demandes en ligne, qui sont gérés par deux groupes différents."
2020-2021,977,Ecological Gifts Program,Programme des dons écologiques,Environment and Climate Change Canada,Environnement et Changement climatique Canada,"Canada’s Ecological Gifts Program provides a way for landowners in Canada with ecologically sensitive land to protect nature and leave a legacy for future generations. Made possible by the terms of the Income Tax Act of Canada and the Quebec Taxation Act, it offers significant tax benefits to landowners who donate land or a partial interest in land to a qualified recipient. Recipients ensure that the land’s biodiversity and environmental heritage are conserved in perpetuity.","Le Programme des dons écologiques offre aux propriétaires fonciers au Canada possédant des terres écosensibles la possibilité de protéger la nature et de transmettre un héritage aux générations futures. En vertu de la Loi de l’impôt sur le revenu du Canada et la Loi sur les impôts du Québec, il procure d’importants avantages fiscaux aux propriétaires qui font don d’une terre ou d’un intérêt foncier partiel à un organisme bénéficiaire admissible. Le bénéficiaire veille à ce que la biodiversité et le patrimoine naturel de la terre soient conservés à perpétuité.",extern,res,non,client,https://www.canada.ca/en/environment-climate-change/services/environmental-funding/ecological-gifts-program.html,https://www.canada.ca/fr/environnement-changement-climatique/services/financement-environnement/programme-dons-ecologiques.html,Habitat Conservation and Protection,Conservation et protection des habitats,,oth,"enviro,NGO,person,PTC",N,N,NA,NA,na,,,15,11942,not_applicable,not_applicable,15,not_applicable,0,94,not_applicable,not_applicable,N,N,N,N,N,N,"eml,tel","We consider the ""application"" the application for determination of fair market value.
We don't track if applications are received by mail or email, but most are received by email.
Details for the Ecological Gifts Program are available online and by phone, but in order to apply for the program, an applicant must print the application form and complete it manually.  The completed form can be sent to ECCC by mail or email.","Nous considérons ""l'application"" comme étant la demande de détermination de la juste valeur marchande.
Nous ne suivons pas si les demandes sont reçues par courrier ou par courriel, mais la plupart sont reçues par courriel.
Des informations complémentaires concernant le Programme des dons écologiques sont disponibles en ligne et par téléphone. Cependant, pour soumettre une demande au programme, tout requérant doit imprimer le formulaire de demande et le remplir manuellement. Le formulaire complété peut être envoyé à ECCC par courrier postal ou courriel."
2020-2021,268,Environmental Funding - Great Lakes Protection Initiative,Initiative de protection des Grands Lacs,Environment and Climate Change Canada,Environnement et Changement climatique Canada,"This initiative addresses the most significant environmental challenges affecting Great Lakes water quality and ecosystem health. The projects we fund help us deliver on Canada’s commitments under the Canada-United States Great Lakes Water Quality Agreement. We fund projects that: restore Areas of Concern, prevent toxic and nuisance algae, reduce releases of harmful chemicals, engage Indigenous Peoples and engage the public through citizen science.","Ce programme de financement vise à améliorer la santé, la productivité et la pérennité des écosystèmes du Canada atlantique. Il finance les projets qui utilisent une approche axée sur les écosystèmes qui comprend des partenariats et des mesures concertées permettant de produire des résultats positifs pour l’environnement. Nous finançons les projets qui renforcent une planification et une prise de décision intégrées en matière d’écosystème; accroissent les connaissances et la science des écosystèmes; restaurent et améliorent la santé des écosystèmes prioritaires du Canada atlantique.",extern,gnc,non,,https://www.canada.ca/en/environment-climate-change/services/great-lakes-protection/funding.html,https://www.canada.ca/fr/environnement-changement-climatique/services/protection-grands-lacs/financement.html,Water Quality and Ecosystems Partnerships,Qualité de l'eau et partenariat sur les écosystèmes,2017-2018,ex_auth,"enviro,NGO",N,N,NA,NA,,,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,Y,Y,Y,N,N,"eml,fax,onl,post,tel",,
2020-2021,1975,Canadian Centre for Climate Services,Centre canadien des services climatiques,Environment and Climate Change Canada,Environnement et Changement climatique Canada,"The Canadian Centre for Climate Services (CCCS) helps Canadians increase their resilience to climate change by providing climate information and support. Specifically, they operate a Climate Services Support Desk which helps Canadians find, understand and apply climate information in their decisions.","Le Centre canadien des services climatiques (CCSC) aide les Canadien(ne)s à accroître leur résilience aux changements climatiques en fournissant de l'information et du soutien sur le climat. Plus précisément, ils opèrent un Centre d'aide des services climatiques qui aide les Canadien(ne)s à trouver, à comprendre et à appliquer l'information climatique  dans leurs décisions.","extern,enterprise,intern","info,res",non,client,https://www.canada.ca/en/environment-climate-change/services/climate-change/canadian-centre-climate-services.html,https://www.canada.ca/fr/environnement-changement-climatique/services/changements-climatiques/centre-canadien-services-climatiques.html,Climate Change Adaptation,Adaptation aux changements climatiques,2017-2018,,"econom,enviro,intern_gov,NGO,person,PTC",Y,N,NA,NA,na,,2020,99,200815,not_applicable,not_applicable,99,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,NA,NA,Y,NA,NA,Y,"eml,onl","CCCS provides information to all Canadians without the need for an application, but enables feedback and inquiries through an online webform and by email. In 2020-2021, CCCS receievd 262 requests via the web form and 99 via emails.","Le CCSC fournit des informations à tous les Canadien(ne)s et ne nécessite pas une demande. Le site web permet de faire des commentaires et de déposer des requêtes par le biais d'un formulaire web. En 2020-21, le CCSC a reçue 262 requêtes par ce formulaire."
