fiscal_yr,service_id,service_name_en,service_name_fr,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,target_type,service_std_target,volume_meeting_target,total_volume,performance,gcss_tool_fiscal_yr,channel,standard_channel_comment_en,standard_channel_comment_fr,standard_comment_en,standard_comment_fr,realtime_result_url_en,realtime_result_url_fr,department_name_en,department_name_fr
2020-2021,1558,IRAP Advisory Services to Firms,Services-conseils du PARI aux entreprises,2165,"IRAP identifies and addresses the needs of funded clients, providing the highest-quality services in a courteous and professional way.","Le PARI détermine les besoins des clients financés et y répond en toute confidentialité, en fournissant des services de la plus haute qualité de façon courtoise et professionnelle.",https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-service-standards,https://nrc.canada.ca/fr/soutien-linnovation-technologique/normes-service-pari-cnrc,oth,percentage,100,1961,2086,94.0,2018-2019,oth,"The quality of the service and professionalism of staff. The service is standard is administered through the following channels: 
•Telephone 
•In-person
•Online","Qualite de service et professionalisme du personnel. La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• en ligne.","Total Annual Business Volume represents the total number of funded firms who started an innovation project in a given fiscal year (includes NRC IRAP support to firms for technology innovation projects and for the youth employment program) .

The Annual Business Volume Satisfying Standard was recorded a percentage (94%) of these firms.  The number shown is the approximate value for the percentage reported.","Le volume d'affaires annuel représente le nombre d'entreprises qui ont lanceé un projet d'innovation financé au cours d'un exercice financier et qui ont présenté un rapport post-projet approuvé. (comprend l'aide du PARI-CNRC aux entreprises pour les projets d'innovation technologique et pour le programme d'emploi des jeunes).

Le volume d'affaires annuel satisfaisant à la norme a été enregistré par le service sous forme de pourcentage (94 %).Le nombre indiqué est la valeur approximative correspondant à ce pourcentage.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1558,IRAP Advisory Services to Firms,Services-conseils du PARI aux entreprises,3923,IRAP delivers advisory services that funded clients would recommend to their professional network (as indicated by an “excellent” Net Promoter Score [≥50]).,Le PARI CNRC fournit des services consultatifs que les clients financés recommanderaient à leur réseau professionnel (comme l’indique un taux de recommandation net d’« excellent » [≥50]).,https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-service-standards,https://nrc.canada.ca/fr/soutien-linnovation-technologique/normes-service-pari-cnrc,oth,other_type,ND,ND,ND,ND,,oth,"Net Promoter Score (NPS) can vary from -100 to +100. A positive score is considered good, while a score above 50 is considered excellent and above 70 is considered exceptional. For 2020-21, NRC IRAP exceeded its target of NPS 50 with a score of 85. The service is standard is administered through the following channels: 
•Telephone 
•In-person
•Email","Le taux de recommandation net peut varier de -100 à +100. Un taux positif est considéré comme bon, tandis qu’un taux supérieur à 50 est considéré comme excellent et l’un qui est supérieur à 70 est considéré comme exceptionnel. Pour 2020-2021, le PARI CNRC a dépassé son objectif de 50 avec un taux de 85.La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• courriel",,,,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1549,Federal Science Libraries Network (FSLN),Réseau des bibliothèques scientifiques fédérales (RBSF),1544,"FSLN Operations uses a service desk model to ensure that leads in FSLN departments have a single-point of contact for raising incident tickets, service tickets and change requests. The standard is that FSLN needs to acknowledge emails within 1 day.","Le service des opérations de la RBSF applique un modèle de centre de services pour s’assurer que les responsables des ministères partenaires de la BSF disposent d’un guichet unique pour signaler les incidents, les demandes de service et les demandes de modifications. Cette norme stipule que la RBSF doit accuser réception des courriels dans les 24 heures.",,,time,percentage,100,522,522,100.0,,oth,"The service is standard is administered through the following channels: 
•Telephone 
•In-person
•Email","La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• courriel.","The service is standard is administered through the following channels: 
•Telephone 
•In-person
•Email","La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• courriel.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1677,The Canadian Astronomy Data Centre (CADC),Le Centre canadien de données astronomiques (CCDA),3934,Maintain 7 day availability of CADC data retrieval service at 95% or greater.,Maintenir la norme de disponibilité des services de données du CCDA à un minimum de 95 % sur une période mobile de 7 jours.,,,time,percentage,95,358,365,98.0,2020-2021,onl,,,"Calculated by checking availability of CADC’s data service when accessed from the Arbutus cloud computing system at the University of Victoria. Each day the CADC will capture the fraction of time (as a percent) the services reported as being available during the preceding 7 day period.  Standard is to achieve 95% availability 95% of the time.  In 2020/21 this standard was achieved, reporting 98% or greater availability 96% of the time.","Fondé sur la disponibilité du service de données du CCDA contacté par le système en nuage Arbutus de l’Université de Victoria. Le CCDA comptabilise chaque jour le pourcentage du temps de disponibilité des services au cours des sept jours précédents. La norme de service est une disponibilité de 95 %, 95 % du temps. En 2020-2021, la norme a été respectée, le taux de disponibilité a été de 98 % ou plus 96 % du temps.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1547,National Science Library,Bibliothèque scientifique nationale,1541,Library services have a service standard for availability of online resources (percentage of time that online library systems will be available for public use).,Les services de bibliothèque ont établi une norme de service concernant la disponibilité des ressources en ligne (pourcentage de temps pendant lequel les systèmes de bibliothèque en ligne seront mis à la disposition du grand public).,,,acces,percentage,99,116672,117851,99.0,,onl,,,"The 99% is based on the general concept of ""medium"" system availability, rather than on a transaction by transaction basis. Library services does not log-down time in detail. Business volume is measured as website hits measured through Google analytics.","La proportion de 99 % repose sur le concept général d’une disponibilité « moyenne » du système, plutôt que sur la base des transactions individuelles. Les services de bibliothèque ne consignent pas en détail les données concernant les délais. Le volume d'activité est mesuré par le nombre de visites de sites Web mesuré à l'aide de Google Analytics.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1339,Client Service Centre (CSC),Centre de services à la clientèle,1335,Requests are completed < 1 day.,Les demandes sont traitées en moins d’une journée.,,,time,percentage,70,10169,11596,88.0,,tel,,,The Annual Business Volume Satisfying Standard was recorded by the service as a percentage 87.7%. The number shown is the approximate value for the percentage reported.,"Le volume annuel des activités qui ont respecté la norme de service a été de 87,7 %. La valeur indiquée est une approximation du pourcentage comptabilisé.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1339,Client Service Centre (CSC),Centre de services à la clientèle,1342,Percentage of calls completed,Pourcentage d’appels téléphoniques complétés.,,,acces,percentage,95,11121,11596,96.0,,tel,,,Service standard result derived from the number of calls handled minus the number of calls abandoned (475 for 2020-21).,Le taux de conformité à la norme de service repose sur le nombre d’appels traités moins le nombre d’appels abandonnés (475 en 2020-2021).,,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1339,Client Service Centre (CSC),Centre de services à la clientèle,1334,"Grade of service:
 80% of phone calls answered within 30 seconds.","Niveau de service : 
80% d’appels téléphoniques répondus dans un intervalle de 30 secondes",,,acces,percentage,80,10227,11596,88.0,,tel,,,88.2% of calls were answered within 30 seconds. The number shown is the approximate value for the percentage reported.,"Le CSC a répondu à 88,2 % des appels dans un délai d’au plus 30 secondes. La valeur indiquée est une approximation du pourcentage comptabilisé.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1339,Client Service Centre (CSC),Centre de services à la clientèle,2552,"Compliance with internal standards
(Assessment of email correspondence in accordance with best practices quality assurance and quality control methodologies)","Respect des normes internes
(Conformité des articles de la base de connaissance (évaluation des courriels selon les meilleures méthodes de contrôle et d’assurance de la qualité.)",,,accur,percentage,90,17085,18983,90.0,,eml,,,The Annual Business Volume Satisfying Standard was recorded by the service as a percentage 90%. The number shown is the approximate value for the percentage reported,Le volume annuel des activités qui ont respecté la norme de service a été de 90%. La valeur indiquée est une approximation du pourcentage comptabilisé.,,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1339,Client Service Centre (CSC),Centre de services à la clientèle,1337,"Compliance to script adherence (Adherence to prescribed workflows and scripts through QA and QC measures available in MS Dynamics, correlated with direct observation via call recordings.)","Conformité de l’adhérence au scénario (Adhérence au flux de travail et aux scénarios prévus grâce aux mesures d’assurance de la qualité (AQ) et de contrôle de la qualité (CQ) disponibles dans l’outil Microsoft Dynamics, corrélée par une observation directe des enregistrements d’appels.)",,,accur,percentage,90,10436,11596,90.0,,tel,,,"The number provided for Annual Business Volume Satisfying Standard corresponds to 90% compliance obtained on a random sampling of 5 calls per agent per month. 

Best practice Quality Assurance/Quality Control methodology.","Le nombre indiqué pour la norme annuelle de satisfaction du volume d'affaires correspond à un taux de conformité de 90 % obtenu sur un échantillon aléatoire de 5 appels par agent par mois. 

Pratiques exemplaires et méthode en matière d’assurance de la qualité et de contrôle de la qualité.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,2568,Canadian Construction Materials Centre (CCMC) Product Assessments,Évaluation des produits du Centre canadien de matériaux de construction (CCMC),3937,Response to applications within 5 business days from online submission.,Les demandes d’examen soumises au CCMC doivent être traitées dans les cinq jours suivant le dépôt de la demande en ligne.,,,time,percentage,90,145,149,97.0,,eml,,,,,,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1553,Codes Canada,Codes Canada,1549,Hard copy versions of codes are delivered within 14 days.,Versions imprimées des codes livrées dans un délai 14 jours.,,,time,percentage,100,8093,8610,94.0,,oth,"The channel over which this standard is administered is shipping. Requests for shipping can be submitted through the following channels:
•Telephone 
•In-person
•Email 
•Mail
•Fax","La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• courriel;
• courrier;
• fax.","The service was completed within 14 days 94% of the time.  FY 20-21 saw two downtime periods where the print shop was not able to distribute print copies of the codes due to COVID lockdown in Ontario. Lower volume of satisfying standard reflects this.

In a normal year, we reach a 97% volume of satisfying standard. The 3% can be due to out of stock issues or delivery delays or complications. For that reason, the estimated time of delivery communicated to clients is 4 to 6 weeks.","Dans 94 % des cas, le service a été assuré dans une période de 14 jours. À deux reprises en 2020-2021, l’imprimerie a dû interrompre ses activités et n’a pu distribuer les exemplaires papier des codes en raison de la COVID-19 qui a amené les autorités de l’Ontario à décréter une période de confinement dans la province. La baisse de l’indicateur reflétant le respect de la norme de service est attribuable à cette situation.

Au cours d’une année normale, 97 % des commandes reçues sont traitées dans le délai prévu par la norme; l’écart de 3 % est attribuable à l’insuffisance des stocks ou à des retards de livraison. Pour cette raison, le délai de livraison indiqué aux clients est de 4 à 6 semaines.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1553,Codes Canada,Codes Canada,1550,Electronic versions of codes  are accessible within 2 hours after a client submits their order.,Les versions électroniques sont accessibles dans les 2 heures suivant la commande du client.,,,time,percentage,100,0,76712,0.0,,onl,,,"Regarding the 2h delay for granting access to electronic versions of our publications:

Up until Sept. 2019, the delay was 24-48h due to the billing process not being automated. This issue was resolved and we were then able to provide access to the electronic versions within two hours, most of the time. This change required another level of detail in our reports to be able to provide the volume of satisfying standard, which we did not develop because we were planning to move all the electronic versions of the Codes and Guides to NPARC (as of April 2021). This removes the need for a 2h service standard, as codes users now have instant access to a downloadable PDF of the codes and guides. This is a service improvement was initiated in 20-21 and was completed in April 2021.","Concernant le délai de deux heures pour donner accès aux versions électroniques de nos publications :

Jusqu’en septembre 2019, le délai était de 24 h à 48 h, parce que le processus de facturation n’était pas automatisé. Le problème a été corrigé et nous sommes maintenant en mesure de donner accès aux publications dans un délai de deux heures dans la plupart des cas. Ce changement nécessitait l’ajout d’un indicateur dans nos rapports pour refléter la proportion des commandes qui respectaient la norme. Or, comme il était prévu que les versions électroniques des codes et des guides seraient versées aux Archives (NPArC) en avril 2021, cet indicateur n’a pas été créé. La norme de service de deux heures n’est donc plus fondée, les utilisateurs pouvant désormais télécharger instantanément les versions PDF des publications. Cette bonification du service commencée en 2020-2021 s’est terminée en avril 2021.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1552,Research Services,Services de recherches,3945,Services rendered met overall expectations,Les services rendus correspondaient aux attentes,,,accur,percentage,80,481,547,88.0,,oth,"The service standard is conducted through a survey that is emailed out to clients. It is meant to measure performance as a whole, not just performance through a specific channel.","Pour évaluer la conformité à la norme de service, on utilise un sondage de satisfaction de la clientèle qui mesure le rendement global, et pas seulement pour un canal donné.",Target percentage obtained from the February 2021 Annual Client Satisfaction Survey where clients indicate their level of satisfaction with each service standard on a scale of 1 to 10; very small sample size; total business volume indicates the number of agreements signed during FY20-21.,"Le pourcentage d’atteinte de la cible est tiré du sondage annuel de la clientèle de février 2021 dans lequel les clients devaient indiquer leur degré de satisfaction à l’égard pour chaque service assujetti à une norme, sur une échelle de 1 à 10. L’échantillon était très petit. Le volume total représente le nombre d’accords signés au cours de l’exercice 2020-2021.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1552,Research Services,Services de recherches,3946,Timely response from staff,Réponse en temps opportun du personnel,,,time,percentage,80,470,547,86.0,,oth,"The service standard is conducted through a survey that is emailed out to clients. It is meant to measure performance as a whole, not just performance through a specific channel.","Pour évaluer la conformité à la norme de service, on utilise un sondage de satisfaction de la clientèle qui mesure le rendement global, et pas seulement pour un canal donné.",Target percentage obtained from the February 2021 Annual Client Satisfaction Survey where clients indicate their level of satisfaction with each service standard on a scale of 1 to 10; very small sample size; total business volume indicates the number of agreements signed during FY20-21.,"Le pourcentage d’atteinte de la cible est tiré du sondage annuel de la clientèle de février 2021 dans lequel les clients devaient indiquer leur degré de satisfaction à l’égard pour chaque service assujetti à une norme, sur une échelle de 1 à 10. L’échantillon était très petit. Le volume total représente le nombre d’accords signés au cours de l’exercice 2020-2021.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1552,Research Services,Services de recherches,3948,Clearly communicated and complete progress reports and results,Rapports d’étape et résultats présentés de façon exhaustive et claire,,,accur,percentage,80,470,547,86.0,,oth,"The service standard is conducted through a survey that is emailed out to clients. It is meant to measure performance as a whole, not just performance through a specific channel.","Pour évaluer la conformité à la norme de service, on utilise un sondage de satisfaction de la clientèle qui mesure le rendement global, et pas seulement pour un canal donné.",Target percentage obtained from the February 2021 Annual Client Satisfaction Survey where clients indicate their level of satisfaction with each service standard on a scale of 1 to 10; very small sample size; total business volume indicates the number of agreements signed during FY20-21.,"Le pourcentage d’atteinte de la cible est tiré du sondage annuel de la clientèle de février 2021 dans lequel les clients devaient indiquer leur degré de satisfaction à l’égard pour chaque service assujetti à une norme, sur une échelle de 1 à 10. L’échantillon était très petit. Le volume total représente le nombre d’accords signés au cours de l’exercice 2020-2021.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1552,Research Services,Services de recherches,3949,Timely delivery of progress reports and results,Fourniture des rapports d’étape et des résultats selon les délais prévus.,,,time,percentage,80,465,547,85.0,,oth,"The service standard is conducted through a survey that is emailed out to clients. It is meant to measure performance as a whole, not just performance through a specific channel.","Pour évaluer la conformité à la norme de service, on utilise un sondage de satisfaction de la clientèle qui mesure le rendement global, et pas seulement pour un canal donné.",Target percentage obtained from the February 2021 Annual Client Satisfaction Survey where clients indicate their level of satisfaction with each service standard on a scale of 1 to 10; very small sample size; total business volume indicates the number of agreements signed during FY20-21.,"Le pourcentage d’atteinte de la cible est tiré du sondage annuel de la clientèle de février 2021 dans lequel les clients devaient indiquer leur degré de satisfaction à l’égard pour chaque service assujetti à une norme, sur une échelle de 1 à 10. L’échantillon était très petit. Le volume total représente le nombre d’accords signés au cours de l’exercice 2020-2021.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1555,Instrument Calibration Services,Services d'étalonnage d'instruments,3938,Calibrations are performed under the scope of the ISO/IEC 17025-compliant Quality Management System.,Les étalonnages sont effectués conformément à la norme ISO/IEC 17025 dans le cadre du système de gestion de la qualité.,,,accur,percentage,0,568,586,97.0,,oth,"The service is standard is administered through the following channels: 
•Telephone 
•In-person
•Email","La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• courriel.","97% of calibrations were performed under the scope of the ISO/IEC 17025-compliant Quality Management System. Due to pandemic, the research centre was working at 30% capacity on site. Given these restrictions and the strain on resources, it did not make sense to set a target at this time.","Quatre-vingt-dix-sept pour cent (97 %) des étalonnages effectués l’ont été en vertu de la norme relative aux systèmes de gestion ISO/IEC 17025. La pandémie a forcé le centre de recherche à fonctionner à 30 % de sa capacité. En raison des restrictions et de la pression exercée sur les ressources, l’identification d'une cible n’avait aucune utilité à ce moment-ci.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1557,Certified Reference Materials,Matériaux de référence certifiés,1557,Orders are processed and shipped within 5 business days of receiving all the required information from purchaser – temperature sensitive products may require longer processing time due to carrier shipping schedules.,Le traitement et l'expédition de commandes se font dans les cinq jours ouvrables suivant la réception de toutes les informations requises de l'acheteur. Un délai plus long pourrait s'avérer nécessaire pour le traitement de produits thermosensibles en raison des horaires d'expédition des transporteurs.,,,time,percentage,90,0,1045,0.0,,oth,"The service is standard is administered through the following channels: 
•Virtual Store (online)
•Email","La norme de service est administrée par les voies suivantes :
• magasin virtuel (en ligne)
• en ligne.","1,045 total number of CRM orders submitted and processed. 10,093 individual CRMs sold. Processing times were not tracked due to COVID impacts & delays while adhering to safety protocols.","En tout, 1 045 commandes ont été reçues et traitées; 10 093 produits distincts ont été vendus. En raison des répercussions de la COVID et des retards causés par les protocoles sanitaires à respecter, les données sur les temps de traitement n’ont pas été consignées.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1551,Technical Services,Services techniques,3951,Services rendered met overall expectations,Les services rendus correspondaient aux attentes,,,time,percentage,80,1075,1250,86.0,,oth,"The service standard is conducted through a survey that is emailed out to clients. It is meant to measure performance as a whole, not just performance through a specific channel.","Pour évaluer la conformité à la norme de service, on utilise un sondage de satisfaction de la clientèle qui mesure le rendement global, et pas seulement pour un canal donné.",Target percentage obtained from the February 2021 Annual Client Satisfaction Survey where clients indicate their level of satisfaction with each service standard on a scale of 1 to 10; very small sample size; total business volume indicates the number of agreements signed during FY20-21.,"Le pourcentage d’atteinte de la cible est tiré du sondage annuel de la clientèle de février 2021 dans lequel les clients devaient indiquer leur degré de satisfaction à l’égard pour chaque service assujetti à une norme, sur une échelle de 1 à 10. L’échantillon était très petit. Le volume total représente le nombre d’accords signés au cours de l’exercice 2020-2021.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1551,Technical Services,Services techniques,3952,Timely response from staff,Réponse en temps opportun du personnel,,,time,percentage,80,1062,1250,85.0,,oth,"The service standard is conducted through a survey that is emailed out to clients. It is meant to measure performance as a whole, not just performance through a specific channel.","Pour évaluer la conformité à la norme de service, on utilise un sondage de satisfaction de la clientèle qui mesure le rendement global, et pas seulement pour un canal donné.",Target percentage obtained from the February 2021 Annual Client Satisfaction Survey where clients indicate their level of satisfaction with each service standard on a scale of 1 to 10; very small sample size; total business volume indicates the number of agreements signed during FY20-21.,"Le pourcentage d’atteinte de la cible est tiré du sondage annuel de la clientèle de février 2021 dans lequel les clients devaient indiquer leur degré de satisfaction à l’égard pour chaque service assujetti à une norme, sur une échelle de 1 à 10. L’échantillon était très petit. Le volume total représente le nombre d’accords signés au cours de l’exercice 2020-2021.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1551,Technical Services,Services techniques,3953,Clearly communicated and complete progress reports and results,Rapports d’étape et résultats présentés de façon exhaustive et claire,,,accur,percentage,80,1037,1250,83.0,,oth,"The service standard is conducted through a survey that is emailed out to clients. It is meant to measure performance as a whole, not just performance through a specific channel.","Pour évaluer la conformité à la norme de service, on utilise un sondage de satisfaction de la clientèle qui mesure le rendement global, et pas seulement pour un canal donné.",Target percentage obtained from the February 2021 Annual Client Satisfaction Survey where clients indicate their level of satisfaction with each service standard on a scale of 1 to 10; very small sample size; total business volume indicates the number of agreements signed during FY20-21.,"Le pourcentage d’atteinte de la cible est tiré du sondage annuel de la clientèle de février 2021 dans lequel les clients devaient indiquer leur degré de satisfaction à l’égard pour chaque service assujetti à une norme, sur une échelle de 1 à 10. L’échantillon était très petit. Le volume total représente le nombre d’accords signés au cours de l’exercice 2020-2021.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1551,Technical Services,Services techniques,3955,Timely delivery of progress reports and results,Fourniture des rapports d’étape et des résultats selon les délais prévus.,,,time,percentage,80,1012,1250,81.0,,oth,"The service standard is conducted through a survey that is emailed out to clients. It is meant to measure performance as a whole, not just performance through a specific channel.","Pour évaluer la conformité à la norme de service, on utilise un sondage de satisfaction de la clientèle qui mesure le rendement global, et pas seulement pour un canal donné.",Target percentage obtained from the February 2021 Annual Client Satisfaction Survey where clients indicate their level of satisfaction with each service standard on a scale of 1 to 10; very small sample size; total business volume indicates the number of agreements signed during FY20-21.,"Le pourcentage d’atteinte de la cible est tiré du sondage annuel de la clientèle de février 2021 dans lequel les clients devaient indiquer leur degré de satisfaction à l’égard pour chaque service assujetti à une norme, sur une échelle de 1 à 10. L’échantillon était très petit. Le volume total représente le nombre d’accords signés au cours de l’exercice 2020-2021.",,,National Research Council Canada,Conseil national de recherches Canada
