fiscal_yr,service_id,service_name_en,service_name_fr,department_name_en,department_name_fr,external_internal,service_type,special_designations,service_description_en,service_description_fr,service_url_en,service_url_fr,program_name_en,program_name_fr,last_GBA,ident_platform,client_target_groups,info_service,service_fee,cra_business_number,use_of_sin,service_channels,calls_received,web_visits_info_service,online_applications,telephone_applications,in_person_applications,postal_mail_applications,other_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr
2019-2020,1944,Issuance of Industrial Hemp Import and Export Permits under the Cannabis Act and its Regulations,Délivrance des permis d’importation et d’exportation de chanvre industriel en vertu de la Loi sur le cannabis et de ses règlements,Health Canada,Santé Canada,extern,reg_vol,non,The Cannabis Act and its regulations govern the applications for licences and permits. Licence holders under the Industrial Hemp Regulations may import or export seed or grain of industrial hemp if authorized for the relevant activity on their licence. A permit is required for each individual shipment of cannabis and each permit application is assessed on a case-by-case basis. (CSCB),La Loi sur le cannabis et ses règlements régissent les demandes de licences et de permis. Les titulaires de licence aux termes du Règlement sur le chanvre industriel peuvent importer ou exporter des graines ou des grains de chanvre industriel s’ils sont autorisés à exercer l’activité pertinente indiquée sur leur licence. Un permis est exigé pour chaque envoi individuel de chanvre industriel et chaque demande de permis est évaluée en fonction de chaque cas.  (DGSCC),https://www.canada.ca/en/health-canada/services/drugs-medication/cannabis/producing-selling-hemp/import-export-permits/application-permit-import-industrial-hemp.html,https://www.canada.ca/fr/sante-canada/services/drogues-medicaments/cannabis/production-vente-chanvre/permis-importation-exportation/demande-permis-importation-chanvre-industriel.html,Cannabis,Cannabis,,ex_auth,econom,N,N,NA,N,onl,ND,ND,0,ND,ND,ND,ND,N,N,N,N,N,N,eml,Applications are generally received through e-mail to a generic email account. Total number of interactions not available.,Les demandes sont généralement reçues par courrier électronique sur un compte de messagerie générique. Nombre total d'interactions non disponibles.
2019-2020,1945,Issuance of licence for Analytical Testing under the Cannabis Act and its Regulations,Délivrance de licences d'essais analytiques en vertu de la Loi sur le cannabis et de ses règlements,Health Canada,Santé Canada,extern,reg_vol,non,The Cannabis Act and its regulations govern the applications for licences and permits. Licence holders under the Cannabis Regulations may perform authorized activities found on their licence. The necessary information to be submitted by a licence holder to apply for a licence is detailed in the Cannabis Licensing Application Guide. Applications are submitted through the Cannabis Tracking and Licensing System (CTLS). (CSCB),La Loi sur le cannabis et ses règlements régissent les demandes de licences et de permis. Les titulaires de licence aux termes du Règlement sur le cannabis peuvent exercer les activités autorisées indiquées sur leur licence. Les renseignements nécessaires que le titulaire de licence doit soumettre pour demander une licence sont décrits dans le Guide des demandes de licences liées au cannabis. Les demandes de licences doivent être soumises via le Système de suivi du cannabis et de demande de licence (SSCDL). (DGSCC),https://www.canada.ca/en/health-canada/services/drugs-medication/cannabis/industry-licensees-applicants/licensing-summary/guide.html,https://www.canada.ca/fr/sante-canada/services/drogues-medicaments/cannabis/titulaires-licences-demandeurs-industrie/sommaire-licences/guide.html,Cannabis,Cannabis,,ex_auth,"econom,NGO,person",N,N,NA,N,onl,ND,ND,0,ND,ND,ND,ND,Y,Y,Y,Y,NA,N,eml,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1946,Issuance of Cannabis Drug Licences under the Cannabis Act and its Regulations,Délivrance de licences de drogues contenant du cannabis en vertu de la Loi sur le cannabis et de ses règlements,Health Canada,Santé Canada,extern,reg_vol,non,The Cannabis Act and its regulations govern the applications for licences and permits. License holders under the Cannabis Regulations may perform authorized activities found on their licence. Applications are submitted using a downloadable Cannabis Drug Licence Application Form from the Health Canada website. (CSCB),"La Loi sur le cannabis et ses règlements régissent les demandes de licences et de permis. Les titulaires de licence aux termes du Règlement sur le cannabis peuvent exercer les activités autorisées indiquées sur leur licence. Les demandes de licences doivent être soumises via le formulaire de demande de licence relative aux drogues contenant du cannabis, disponible sur le site web de Santé Canada. (DGSCC)",https://www.canada.ca/content/dam/hc-sc/documents/services/drugs-medication/cannabis/industry-licensees-applicants/cannabis-drug-licence-application-form-eng.pdf,https://www.canada.ca/content/dam/hc-sc/documents/services/drugs-medication/cannabis/industry-licensees-applicants/cannabis-drug-licence-application-form-fra.pdf,Cannabis,Cannabis,,,"econom,NGO,person",N,N,NA,N,post,ND,ND,ND,ND,ND,0,ND,N,N,N,N,N,N,eml,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1947,Issuance of licence for Industrial Hemp under the Cannabis Act and its Regulations,Délivrance de licences industriel en vertu de la Loi sur le cannabis et de ses règlements,Health Canada,Santé Canada,extern,reg_vol,non,"Under the Cannabis Act, the Industrial Hemp Regulations set out the regulatory framework for controlling and authorizing certain activities with industrial hemp, which is defined under these regulations as a cannabis plant – or any part of the plant – in which the concentration of THC is 0.3% (weight by weight) or less in the flowering heads and leaves.

Under this framework, a person is required to obtain a licence issued by Health Canada in order to conduct various activities with industrial hemp. In addition, licence holders are responsible for compliance with the Cannabis Act and its regulations, and with other applicable federal, provincial and territorial legislation and municipal by-laws.

Beginning October 17, 2018, all industrial hemp licences are issued pursuant to the Cannabis Act and its Industrial Hemp Regulations. The previous paper-based application process has been updated into an online electronic application process via the Cannabis Tracking and Licencing System (CTLS), which is the primary means through which applicants may apply for an industrial hemp licence from Health Canada. (CSCB)","En vertu de la Loi sur le cannabis, le Règlement industriel établit le cadre réglementaire pour le contrôle et l'autorisation de certaines activités liées industriel, qui est défini dans ce règlement comme une plante de cannabis – ou toute partie de la plante – dans laquelle la concentration de THC est de 0,3 % (poids par poids) ou moins dans les têtes florales et les feuilles.

En vertu de ce cadre, une personne est tenue d'obtenir une licence délivrée par Santé Canada pour exercer diverses activités liées au chanvre industriel. De plus, les titulaires de licence doivent tenus de se conformer à la Loi sur le cannabis et à ses règlements, ainsi qu'à d'autres lois fédérales, provinciales et territoriales et règlements municipaux applicables.

Depuis le 17 octobre 2018, toutes les licences relatives au chanvre industriel sont délivrées en vertu de la Loi sur le cannabis et de son Règlement sur le chanvre industriel. Le processus de demande en version papier précédent a été remplacé par un processus de demande par voie électronique en ligne à l'aide du Système de suivi du cannabis et de demande de licence (SSCDL), qui constitue le moyen principal à l'aide duquel les personnes peuvent présenter une demande de licence relative au chanvre industriel auprès de Santé Canada. (DGSCC)",https://www.canada.ca/en/health-canada/services/publications/drugs-health-products/industrial-hemp-licensing-application-guide.html,https://www.canada.ca/fr/sante-canada/services/publications/medicaments-et-produits-sante/guide-demandes-licences-chanvre-industriel.html,Cannabis,Cannabis,,ex_auth,"econom,person",N,N,NA,N,"eml,onl",ND,ND,0,ND,ND,ND,0,Y,Y,Y,Y,NA,N,eml,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1948,Issuance of licence for Research under the Cannabis Act and its Regulations,Délivrance de licences de recherche en vertu de la Loi sur le cannabis et de ses règlements,Health Canada,Santé Canada,extern,reg_vol,non,The Cannabis Act and its regulations govern the applications for licences and permits. Licence holders under the Cannabis Regulations may perform authorized activities found on their licence. The necessary information to be submitted by a licence holder to apply for a licence is detailed in the Cannabis Licensing Application Guide. Applications are submitted through the Cannabis Tracking and Licensing System (CTLS). (CSCB),La Loi sur le cannabis et ses règlements régissent les demandes de licences et de permis. Les titulaires de licence aux termes du Règlement sur le cannabis peuvent exercer les activités autorisées indiquées sur leur licence. Les renseignements nécessaires que le titulaire de licence doit soumettre pour demander une licence sont décrits dans le Guide des demandes de licences liées au cannabis. Les demandes de licences doivent être soumises via le Système de suivi du cannabis et de demande de licence (SSCDL). (DGSCC),https://www.canada.ca/en/health-canada/services/drugs-medication/cannabis/industry-licensees-applicants/licensing-summary/guide.html,https://www.canada.ca/fr/sante-canada/services/drogues-medicaments/cannabis/titulaires-licences-demandeurs-industrie/sommaire-licences/guide.html,Cannabis,Cannabis,,,"econom,NGO,person",N,N,NA,N,onl,ND,ND,0,ND,ND,ND,ND,Y,Y,Y,Y,NA,N,eml,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1949,Exemptions to conduct activities otherwise prohibited by the Cannabis Act,Exemptions pour exercer des activités prohibées sous la Loi sur le cannabis,Health Canada,Santé Canada,extern,reg_vol,non,"Section 140 of the Cannabis Act authorizes the the Minister to exempt any person, or any cannabis or any class of cannabis in relation to a person, from the application of all or any of the provisions of the Act or of the regulations if, in the opinion of the Minister, the exemption is necessary for a medical or scientific purpose or is otherwise in the public interest. Requests for exemptions are submitted by email to a Health Canada generic inbox. (CSCB)","Selon la section 140 de la Loi sur le cannabis, s’il estime que des raisons d’intérêt public, notamment des raisons médicales ou scientifiques, le justifient, le ministre peut, par arrêté précisant les conditions qu’il estime nécessaires, soustraire toute personne, tout cannabis ou toute catégorie de cannabis en rapport avec une personne à l’application de tout ou partie de la présente loi ou de ses règlements. Les demandes d'exemption sont faites par voie de courriel à un adresse générique de Santé Canada. (DGSCC)",,,Cannabis,Cannabis,,,"econom,person",N,N,NA,N,eml,ND,ND,ND,ND,ND,ND,0,N,N,N,N,N,N,eml,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1950,Tobacco Control Program - Enquiries and Complaints,Programme de lutte au tabagisme - Demandes et plaintes,Health Canada,Santé Canada,"extern,enterprise","comm,reg",non,The Tobacco Control Directorate (TCD) has a generic e-mail address and a 1-866 number which serve as points of contact between TCD and the general public as well stakeholders including industry. It is mainly used for questions and comments on tobacco and vaping policies and programs as well as questions and complaints related to the Tobacco and Vaping Products Act. It is also the generic e-mail address used to respond to ministerial correspondence. (CSCB),"La Direction de la lutte au tabagisme (DLT) a un adresse courriel générique et numéro 1-866 qui servent de point de contact entre la DLT et le public, ainsi que les intervenants, y compris l’industrie. Le programme sert principalement pour les questions et commentaires sur les politiques et programmes liés au tabac ou aux produits de vapotage, ainsi que pour les questions et plaintes relatives à la Loi sur le tabac et les produits de vapotage. L’adresse courriel générique est également utilisée pour répondre aux correspondances ministérielles. (DGSCC)",https://www.canada.ca/en/health-canada/corporate/contact-us/tobacco-control-programme.html,https://www.canada.ca/fr/sante-canada/organisation/contactez-nous/programme-lutte-tabagisme.html,Tobacco Control,Lutte antitabac (y compris le vapotage),,,"econom,person",Y,N,NA,NA,eml,223,0,ND,ND,ND,ND,1107,NA,NA,NA,NA,NA,NA,oth,"Enquiries received by telephone and email, there are no 'applications'.",Demandes reçues par téléphones et courriels. Il n'a pas d'application.
2019-2020,1952,Cannabis Reporting Form (Complaints Inbox),Formulaire de déclaration relative au cannabis (Boite de réception des plaintes),Health Canada,Santé Canada,extern,reg,non,"HC receives cannabis-related reports from consumers, health professionals, industry and the general public as it relates to its area of responsibility. For concerns and complaints that might represent a possible violation of the federal cannabis laws or regulations, individuals may contact the Controlled Substances and Cannabis Branch through the Cannabis Reporting Form. (CSCB)","Santé Canada reçoit des rapports sur le cannabis de la part des consommateurs, des professionnels de la santé, de l’industrie et du grand public en ce qui a trait à son domaine de responsabilité. Pour toute préoccupation ou plainte pouvant constituer une violation possible des lois ou règlements fédéraux sur le cannabis, les personnes peuvent communiquer avec la Direction des substances contrôlées et du cannabis au moyen du Formulaire de déclaration relative au cannabis. (DGSCC)",https://www.canada.ca/en/health-canada/services/drugs-medication/cannabis/recalls-adverse-reactions-reporting/report-cannabis-concerns.html,https://www.canada.ca/fr/sante-canada/services/drogues-medicaments/cannabis/rappels-effets-indesirables-declaration/signaler-probleme-lie-cannabis.html,Cannabis,Cannabis,,,person,Y,N,NA,NA,onl,0,0,0,ND,ND,ND,ND,NA,NA,Y,NA,NA,NA,oth,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1953,Product Recalls,Rappels de produits,Health Canada,Santé Canada,extern,reg,non,"The Recalls and Safety Alerts web application provides easy access to a comprehensive list of recalls, advisories, and safety alerts. This web application includes recalls from Health Canada, the Canadian Food Inspection Agency, and Transport Canada. Data are entered on an ongoing basis by the Controlled Substances and Cannabis Branch's Compliance Directorate. A recall, in respect to cannabis or a cannabis product that has been sold, distributed or exported, includes any action taken by a Licence Holder to correct or remove the cannabis or cannabis product from sale and distribution, and to notify all affected supply chain customers and the public of a problem or potential problem with the cannabis or cannabis product.  (CSCB)","L’application Web sur les rappels et les avis de sécurité donne facilement accès à une liste exhaustive de rappels, d’avis et d’alertes de sécurité. Cette application publie des rappels émis par Santé Canada, l’Agence canadienne d’inspection des aliments et Transports Canada. La Direction de la conformité de la Direction générale des substances contrôlées et du cannabis entre les données de façon continue. Un rappel, à l’égard du cannabis ou d’un produit de cannabis qui a été vendu, distribué ou exporté, comprend toute mesure prise par un titulaire d’une licence pour corriger ou retirer le cannabis ou le produit de cannabis de la vente et de la distribution, et pour aviser tous les clients de la chaîne d’approvisionnement touchés et le public d’un problème ou d’un problème potentiel lié au cannabis ou au produit du cannabis. (DGSCC)",https://healthycanadians.gc.ca/recall-alert-rappel-avis/index-eng.php,https://canadiensensante.gc.ca/recall-alert-rappel-avis/index-fra.php,Cannabis,Cannabis,,,person,Y,N,NA,NA,onl,0,0,0,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1954,Cannabis Licence Application,Demande de licence liées au cannabis,Health Canada,Santé Canada,extern,reg_vol,non,The Cannabis Act establishes that an application for a licence must be filed with the Minister in the form and manner specified by the Minister and must include the information required by the Minister. This service processes licence applications from external applicants. (CSCB),La Loi sur le cannabis établit qu'une demande de licence doit être déposée auprès du ministre selon les modalités qu'il précise et doit contenir les renseignements dont il a besoin. Ce service traite les demandes de licence émanant de candidats externes. (DGSCC),https://www.canada.ca/en/health-canada/services/drugs-medication/cannabis/industry-licensees-applicants/applying-licence.html,https://www.canada.ca/fr/sante-canada/services/drogues-medicaments/cannabis/titulaires-licences-demandeurs-industrie/demande-licence.html,Cannabis,Cannabis,,ex_auth,"econom,person",N,Y,N,N,"eml,onl",ND,ND,0,ND,ND,ND,0,Y,Y,Y,N,N,N,"eml,post,tel","Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.
All applications for licences must be done through the online Cannabis Tracking and Licensing System, though interactions with licence applicants are done through multiple channels (email, telephone, mails)","Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution.
Toutes les demandes de licence doivent être effectuées par le Système de suivi du cannabis et de demande de licence (SSCDL), qui est sur ligne, bien que les interactions avec les demandeurs de licence se fassent par différents canaux (courrier électronique, téléphone, courriers)."
2019-2020,1955,Amend Cannabis Licences,Modifier les licences de cannabis,Health Canada,Santé Canada,extern,reg_vol,non,"Review and approve applications to amend cannabis licences (cultivation, processing and/or medical sale) issued under the Cannabis Act and Regulations. (CSCB)","Examiner et approuver les demandes de modification de licences de cannabis (culture, transformation et / ou vente à des fins médicales) délivrées en vertu de la Loi sur le cannabis et de ses règlements. (DGSCC)",https://www.canada.ca/en/services/health/publications/drugs-health-products/getting-started-cannabis-tracking-licensing-system.html,https://www.canada.ca/fr/services/sante/publications/medicaments-et-produits-sante/guide-demarrage-systeme-suivi-cannabis-demande-licence.html,Cannabis,Cannabis,,ex_auth,"econom,person",N,N,N,N,onl,ND,ND,0,ND,ND,ND,ND,Y,Y,Y,Y,Y,Y,oth,"Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.
Service is only offered for applications received online","Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution.
Le service est offert seulment pour les applications reçues en ligne"
2019-2020,1956,Security Clearance Application,Demandes d'autorisation de sécurité,Health Canada,Santé Canada,extern,reg_vol,non,"Under the Cannabis Act and the Cannabis Regulations, key individuals associated with the holders of certain classes of licences must obtain a security clearance from Health Canada. (CSCB)","En vertu de la Loi sur le cannabis et des Règlement sur le cannabis, les personnes clés associées aux titulaires de certaines catégories de licences doivent détenir une habilitaion de sécurité délivrée par Santé Canada. (DGSCC)",https://www.canada.ca/en/health-canada/services/cannabis-regulations-licensed-producers/security-clearances.html,https://www.canada.ca/fr/sante-canada/services/reglements-sur-le-cannabis-pour-producteurs-autorises/authorization-securite.html,Cannabis,Cannabis,,ex_auth,person,N,Y,N,N,onl,ND,ND,0,ND,ND,ND,ND,Y,Y,Y,N,N,N,"eml,post,tel","Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.

All applications for security clearances must be done through the online Cannabis Tracking and Licensing System, though interactions with applicants are done through multiple channels (email, telephone, mails)","Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution.

Toutes les demandes pour une habilitation de sécurité doivent être effectuées par le Système de suivi du cannabis et de demande de licence (SSCDL), qui est sur ligne, bien que les interactions avec les demandeurs de licence se fassent par différents canaux (courrie1s, téléphone, courriers)."
2019-2020,1957,Registration for Personal or Designated Production of Cannabis for Medical Purposes,Inscriptions personnelles ou designées pour la production du cannabis à des fins médicales,Health Canada,Santé Canada,extern,reg_vol,non,"The Cannabis Regulations provide for the ability for Canadians who have the support of their health care practitioner to register with Health Canada to produce a limited amount of cannabis for their own medical use, or designate someone to produce it for them. They can also register to possess cannabis. Applications for these registrations are sent by mail using a downloadable application form available on the Health Canada website. (CSCB)","Le Règlement sur le cannabis comporte des dispositions permettant aux Canadiens recevant l’appui de leur praticien de la santé de s’inscrire auprès de Santé Canada afin de pouvoir produire une quantité limitée de cannabis pour leurs propres besoins médicaux, ou encore de désigner une personne qui le fera pour eux. Ils peuvent également s’inscrire pour posséder du cannabis. Les demandes d’inscription nous parviennent par la poste via un formulaire de demande d’inscription téléchargeable disponible sur le site Web de Santé Canada. (DGSCC)",https://www.canada.ca/en/health-canada/services/registering-produce-cannabis-own-medical-purposes.html,https://www.canada.ca/fr/sante-canada/services/inscription-production-cannabis-propres-fins-medicales.html,Cannabis,Cannabis,,,person,N,N,N,N,post,ND,ND,ND,ND,ND,0,ND,N,N,N,N,N,N,oth,"Applications are only accepted by mail

Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.","Les demandes sont seulement acceptés par la poste

Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1958,Cannabis Information Line,Ligne d'information sur le cannabis,Health Canada,Santé Canada,extern,reg_vol,non,Health Canada operates a call centre where agents respond to questions from the public about cannabis legalization and regulation. The toll-free number for this information line is publicly available on the Health Canada website. (CSCB),Santé Canada opère un centre d’appels où des agents répondent aux questions du public relativement à la légalisation et à la réglementation du cannabis. Le numéro sans frais de cette ligne d’information est accessible au public : on le retrouve sur le site Web de Santé Canada. (DGSCC),https://www.canada.ca/en/health-canada/corporate/contact-us.html,https://www.canada.ca/fr/sante-canada/organisation/contactez-nous.html,Cannabis,Cannabis,,,person,Y,N,NA,NA,"eml,tel",0,0,ND,0,ND,ND,0,NA,NA,NA,NA,NA,NA,oth,"Enquiries are by phone
Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.","Les renseignment sont demandés par téléphone
Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1960,Cannabis Police Services,Services policiers en matière du cannabis,Health Canada,Santé Canada,extern,reg,non,Health Canada operates a police services function to respond to inquiries from law enforcement across the country about the cannabis program.  (CSCB),Santé Canada opère une fonction policière afin de répondre aux demandes de renseignements des organismes d’application de la loi dans l’ensemble du pays relativement au Programme du Cannabis. (DGSCC),,,Cannabis,Cannabis,,,PTC,Y,N,NA,NA,"eml,tel",0,0,ND,0,ND,ND,0,NA,NA,NA,NA,NA,NA,oth,"Enquiries are by e-mail or telephone
Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.","Les renseignements sont demandés par téléphone ou courriel
Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1961,"Controlled Drugs Licensing (New, Renewal, Amendments and Closures)","Octroi de licences de substances désignées (Nouvelles, renouvellements, modifications et fermetures)",Health Canada,Santé Canada,extern,"reg,reg_vol",essent,Review and regulatory decisions on all application types for Controlled Drugs Dealer's Licences. (CSCB),Examen et décisions réglementaires pour tous les types de demandes de licence de distributeur autorisé pour les substances désignées. (DGSCC),https://www.canada.ca/en/health-canada/services/health-concerns/controlled-substances-precursor-chemicals/controlled-substances.html,https://www.canada.ca/fr/sante-canada/services/preoccupations-liees-sante/substances-controlees-precurseurs-chimiques/substances-controlees.html,Controlled Substances,Substances contrôlées,,,econom,Y,Y,NA,NA,"eml,post",0,0,ND,ND,ND,0,0,NA,NA,NA,NA,NA,NA,oth,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1962,Controlled Drugs Import and Export Permitting,Octroi de permis d'importation et exportation de substances désignées,Health Canada,Santé Canada,extern,"reg,reg_vol",essent,Review and regulatory decisions on permit applications from valid Controlled Drugs Licensed Dealers. (CSCB),Examen et décisions réglementaires pour les demandes de permis de substances désignées provenant d'un distributeur autorisé. (DGSCC),https://www.canada.ca/en/health-canada/services/health-concerns/controlled-substances-precursor-chemicals/controlled-substances.html,https://www.canada.ca/fr/sante-canada/services/preoccupations-liees-sante/substances-controlees-precurseurs-chimiques/substances-controlees.html,Controlled Substances,Substances contrôlées,,,econom,Y,N,NA,NA,"eml,post",0,0,ND,ND,ND,0,0,NA,NA,NA,NA,NA,NA,oth,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1963,"Class B Precursor Registrations (New, Renewals, Amendments, Closures)","Inscriptions de précurseurs chimiques de catégorie B (Nouvelles, renouvellements, modifications et fermetures)",Health Canada,Santé Canada,extern,"reg,reg_vol",essent,Review and regulatory decisions on permit applications from valid Precursor Registered Licensed Dealers. (CSCB),Examen et décisions réglementaires pour les demandes d'inscription de précurseurs chimiques provenant d'un distributeur inscrit. (DGSCC),https://www.canada.ca/en/health-canada/services/health-concerns/controlled-substances-precursor-chemicals/precursor-chemicals.html,https://www.canada.ca/fr/sante-canada/services/preoccupations-liees-sante/substances-controlees-precurseurs-chimiques/precurseurs-chimiques.html,Controlled Substances,Substances contrôlées,,,econom,Y,N,NA,NA,"eml,post",0,0,ND,ND,ND,0,0,NA,NA,NA,NA,NA,NA,oth,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019-2020,1964,"Precursor Authorization Certifications (New, Amendments and Cancellations)","Certificats d'autorisation de précurseurs chimiques (Nouvelles, modifications et annulations)",Health Canada,Santé Canada,extern,reg,essent,Review and regulatory decisions on permit applications from requests for exemption from the Precursor Control Regulations. (CSCB),Examen et décisions réglementaires pour les demandes de certificat d'autorisation de précurseurs chimiques pour une exemption du Règlement sur les précurseurs. (DGSCC),https://www.canada.ca/en/health-canada/services/health-concerns/controlled-substances-precursor-chemicals/precursor-chemicals.html,https://www.canada.ca/fr/sante-canada/services/preoccupations-liees-sante/substances-controlees-precurseurs-chimiques/precurseurs-chimiques.html,Controlled Substances,Substances contrôlées,,,econom,Y,N,NA,NA,"eml,post",0,0,ND,ND,ND,0,0,NA,NA,NA,NA,NA,NA,oth,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
