fiscal_yr,service_id,service_name_en,service_name_fr,department_name_en,department_name_fr,external_internal,service_type,special_designations,service_description_en,service_description_fr,service_url_en,service_url_fr,program_name_en,program_name_fr,last_GBA,client_target_groups,info_service,service_fee,cra_business_number,use_of_sin,service_channels,online_applications,web_visits_info_service,calls_received,in_person_applications,postal_mail_applications,other_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr
2016-2017,144,AgriCompetitiveness Program Fostering Business Development,"Programme Agri-compétitivité, volet Favoriser le développement des entreprises",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides support to national not-for-profit organizations to undertake activities that support agri-businesses to transition, adapt and improve their profitability and resilience by nurturing entrepreneurial capacity.","Offre de l'aide aux organisations nationales sans but lucratif pour réaliser des activités permettant aux entreprises agricoles d'effectuer la transition, de s'adapter et d'améliorer leur rentabilité et leur résilience en développant la capacité entrepreneuriale.",,,AgriCompetitiveness,Agri-compétitivité,NA,econom,NA,N,N,ND,ND,1,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2016-2017,145,Agricultural Youth Green Jobs Initiative,Initiative de stage en agroenvironnement,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Help fund internships for post-secondary graduates working in the agriculture industry,Aide à financer des stages à l'intention des détenteurs d'un diplôme d'études postsecondaires qui travaillent dans le secteur agricole.,,,Career Focus Program (AYGJI is an initiaitve under te borader YES Career Focus program),Programme Objectif carrière (initiative de stage en agroenvironnement de la SEJ - Objectif carrière),NA,econom,NA,N,N,ND,ND,202,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2016-2017,146,Canadian Agricultural Adaptation Program (2014-2019),"Programme canadien d'adaptation agricole
(2014-2019)",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides support to the agriculture, agri-food, and agri-based products sector to seize opportunities, respond to new and/or emerging issues, and pathfind and/or pilot solutions to new and ongoing issues to adapt and remain competitive.","Aide le secteur de l'agriculture, de l'agroalimentaire et des produits agroindustriels à saisir les débouchés, à réagir aux enjeux nouveaux et émergents et à trouver et à tester des solutions aux problèmes nouveaux et courants afin de s'adapter et de demeurer concurrentiel.",,,Canadian Agricultural Adaptation Program,Programme canadien d'adaptation agricole,NA,NGO,NA,N,NA,ND,ND,15,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2016-2017,147,Agricultural Greenhouse Gas Program,Programme de lutte contre les gaz à effet de serre en agriculture,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Helps producers find ways to mitigate greenhouse gas (GHG) emissions from their farming operations,Aide les producteurs à trouver des moyens d'atténuer les émissions de gaz à effet de serre (GES) liées à leurs activités agricoles.,,,Agricultural Greenhouse Gases,Programme de lutte contre les gaz à effet de serre en agriculture,NA,NGO,NA,N,NA,ND,ND,45,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2016-2017,148,Market Access Single Window - International Trade Shows,Guichet unique pour l'accès aux marchés - Salons commerciaux internationaux,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,adv,non,"Provides support to enable Canada's presence at international food, fish and seafood shows.","Offre de l'aide pour faciliter la présence du Canada dans les salons internationaux axés sur les aliments, le poisson et les fruits de mer.",,,International Trade Shows,Salons commerciaux internationaux,NA,econom,NA,N,N,ND,ND,320,0,40,0,0,0,Y,Y,Y,Y,Y,Y,,,
2016-2017,149,Market Access Single Window - Market Intelligence and Information Services,Guichet unique pour l'accès aux marchés - Services de renseignements sur les marchés,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,adv,non,"Provides market intelligence reports and trade data to the agriculture, agri-food and seafood industries to increase the Canadian sector's competitiveness in global markets and provides coordinated direct market research reports through provinces to industry to help increase their international business knowledge in order to make more informed business decisions","Offre des rapports sur les marchés et des données commerciales aux industries agricoles, agroalimentaires et des produits de la mer afin d'accroître la compétitivité du secteur canadien sur les marchés mondiaux, et fournit à l'industrie des rapports coordonnés sur les études de marché par l'entremise des provinces  afin d'améliorer ses connaissances sur le commerce international et de lui permettre de prendre de meilleures décisions d'affaires.",,,Market Intelligence and Information Services,Services de renseignements sur les marchés,NA,econom,NA,N,N,ND,ND,293,0,0,0,0,0,NA,NA,Y,Y,Y,Y,,,
2016-2017,150,Market Access Single Window - Market Access Services,Guichet unique pour l'accès aux marchés - Services d'accès aux marchés,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,adv,non,"Provides a single window email account that allows for 2-way communication with external stakeholders (industry, provinces, territories) on market access through three functions: -Incoming requests for information from outside stakeholders; - Mechanism to broadcast messages of wide interest to stakeholders; - Mechanism to solicit information or feedback from outside stakeholders","Offre un compte courriel à guichet unique qui permet une communication bilatérale avec des intervenants externes (industrie, provinces, territoires) sur l'accès aux marchés grâce à trois fonctions : il répond aux demandes d’information des intervenants externes; il diffuse des messages d’intérêt général aux intervenants; il sollicite de l’information ou des commentaires auprès des intervenants externes",,,Market Access Services,Services d'accès aux marchés,NA,econom,NA,N,N,ND,ND,355,0,0,0,0,0,NA,NA,Y,Y,Y,Y,,,
2016-2017,152,Market Access Single Window - Canada Brand and Market Development,Guichet unique pour l'accès aux marchés - Marque Canada et développement des marchés,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,adv,non,"Provides the Canadian food and agriculture industry with a competitive advantage, internationally and at home, through a set of tools to positively differentiate the sector.",Offre à l'industrie canadienne de l'alimentation et de l'agriculture un avantage concurrentiel au pays et à l'étranger grâce à différents outils permettant de différencier positivement le secteur,,,Canada Brand and Market Development,Marque Canada et développement des marchés,NA,econom,NA,N,N,ND,ND,42,0,0,0,0,0,Y,Y,Y,Y,Y,Y,,,
2016-2017,132,Saint-Hyacinthe Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Provides clients with direct access to sophisticated equipment and a versatile R&D environment to support agri-food companies with small-scale food processing and testing needs and fosters innovation in the area of food research.,Donne aux clients un accès direct à l'équipement de pointe et à un environnement de R-D polyvalent pour aider les entreprises agroalimentaires à répondre à leurs besoins de transformation d'aliments et d'évaluation à petite échelle et pour favoriser l'innovation dans le domaine de la recherche sur les aliments.,,,Agriculture and Agri-Food Canada Food Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,NA,econom,NA,Y,N,ND,ND,38,0,0,0,0,0,Y,NA,Y,Y,N,Y,,,
2016-2017,131,Office of Intellectual Properties and Commercialization (OIPC),Bureau de la propriété intellectuelle et de la commercialisation (BPIC),Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Supports the development and transfer of the results of research efforts by the Science and Technology Branch (STB) of Agriculture and Agri-Food Canada (AAFC).,Appuie le développement et le transfert des résultats des activités de recherche par la Direction générale des sciences et de la technologie (DGST) d'Agriculture et Agroalimentaire Canada (AAC).,,,Office of Intellectual Properities and Commercialization,Bureau de la propriété intellectuelle et de la commercialisation,NA,econom,NA,N,N,ND,ND,620,0,620,0,105,0,NA,NA,Y,Y,N,Y,,,
2016-2017,130,Drought Watch,Guetter la sécheresse,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides users with current and historic weather and climate conditions, to see how current conditions differ from normal, to see where and how weather and climate conditions and events are impacting the sector, to view short-term forecasting products, and to learn about ways to mitigate and adapt to the impacts of weather and climate on agricultural operations.","Fournit aux utilisateurs les conditions météorologiques et climatiques courantes et historiques pour voir comment les conditions actuelles diffèrent de la normale, pour comprendre où et comment les conditions et les phénomènes météorologiques et climatiques influent sur le secteur, pour voir les produits de prévisions à court terme et pour se renseigner sur les façons d'atténuer les effets des conditions météorologiques et du climat sur les activités agricoles et s'y adapter.",,,Drought Watch,Guetter la sécheresse,NA,econom,NA,N,N,ND,ND,16237,0,0,0,0,0,NA,NA,NA,NA,Y,NA,,,
2016-2017,127,Canadian Soil Information System (CanSIS),Système d’information sur les sols du Canada (SISCan),Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"CanSIS works in partnership with the provincial soil mapping groups to maintain and provide access to Canada’s detailed and high level soils data, and other related information.",SISCan collabore avec des groupes provinciaux de cartographie du sol pour maintenir et offrir l'accès aux données détaillées de haut niveau sur les sols du Canada et d'autres renseignements connexes.,,,Canadian Soil Information System,Système d’information sur les sols du Canada,NA,econom,NA,N,N,ND,ND,17531,0,0,0,0,0,NA,NA,NA,NA,Y,NA,,,
2016-2017,129,Geospatial Products,Produits géospatiaux,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides online access to agriculture-related maps, geospatial data and tools to help clients understand the geography of agriculture and make better decisions for environmentally responsible yet competitive agriculture",Offre un accès en ligne aux cartes données géospatiales et outils liés à l'agriculture pour aider les clients à comprendre la géographie de l'agriculture et à prendre de meilleures décisions pour une agriculture respectueuse de l'environnement tout en étant compétitives.,,,Geospatial Products,Produits géospatiaux,NA,econom,NA,N,N,ND,ND,7256,0,10,20,50,0,NA,NA,NA,NA,Y,NA,,,
2016-2017,aafc-aac - 24,ATIP Services,Services de l'AIPRP,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Provide services to requestors that want to get access to governement records.,Offre des services aux demandeurs qui veulent accéder aux dossiers du gouvernement.,,,ATIP,AIPRP,NA,person,NA,Y,NA,ND,ND,125,0,0,0,109,0,Y,Y,Y,N,N,Y,,,
2016-2017,aafc-aac - 25,"Churchill Port Utilisation Program PORT CLOSED MARCH 31, 2017",Programme d'utilisation du port de Churchill - FERMETURE DU PORT LE 31 MARS 2017,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Provides support to legal entities that arrange for and transact the shipment of eligible grain through the Port of Churchill outward on ocean-going vessels. (Expires March 2017),Offre un soutien aux personnes morales qui organisent et négocient l'expédition de grains admissibles à bord de navires océaniques en partance du port de Churchill. (Achevé en mars 2017),,,Churchill Port Utilization Program,Programme d'utilisation du port de Churchill,NA,econom,NA,N,N,ND,ND,5,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2016-2017,719,Carrier Code Application,Demande de code de transporteur,Canada Border Services Agency | Agence des services frontaliers du Canada,Canada Border Services Agency | Agence des services frontaliers du Canada,extern,reg,prior,This service allows for application of a carrier code to establish identity and is required to transact business with the CBSA.,"Ce service permet de demander un code de transporteur, qui sert à établir l'identité, et qui est nécessaire pour faire affaire avec l'ASFC.",,,  Admissibility Determination,Détermination de l'admissibilté,NA,econom,NA,N,N,ND,ND,2492,0,0,0,717,0,NA,N,N,Y,Y,Y,,,
2016-2017,755,Electronic Data Interchange (EDI) Application for Advance Commercial Information (ACI),Demande d'échange de données informatisé (EDI) pour l'Information préalable sur les expéditions commerciales (IPEC),Canada Border Services Agency | Agence des services frontaliers du Canada,Canada Border Services Agency | Agence des services frontaliers du Canada,extern,reg,prior,"This service provides businesses with the ability and authorization to electronically transmit their pre-arrival information either via the eManifest Portal through the Internet or by EDI to the CBSA's host system. Businesses and their service providers who choose to use one of the EDI options to transmit electronic commerce data to the CBSA must apply to the CBSA. eManifest requires all carriers, freight forwarders and importers to send ACI about their shipments electronically to the CBSA.","Ce service offre aux entreprises la capacité et l'autorisation de transmettre par voie électronique leurs données préalables à l'arrivée par le truchement du portail du Manifeste électronique, d'Internet ou de l'EDI au système hôte de l'ASFC. Les entreprises et leurs fournisseurs de services qui choisissent d'utiliser une des options de l'EDI pour transmettre les données du commerce électronique à l'ASFC doivent en faire la demande à celle-ci. Selon le Manifeste électronique, tous les transporteurs, les agents d'expédition et les importateurs doivent envoyer l'IPEC au sujet de leur expéditions par voie électronique à l'ASFC.",,,Admissibility Determination,Détermination de l'admissibilté,NA,econom,NA,N,N,ND,ND,2665,0,0,0,35,0,NA,N,N,Y,NA,Y,,,
2016-2017,720,Courier Low Value Shipments (CLVS) Program Application,Demande de programme des messageries d'expéditions de faible valeur (EFV),Canada Border Services Agency | Agence des services frontaliers du Canada,Canada Border Services Agency | Agence des services frontaliers du Canada,extern,reg,non,"The Courier Low Value Shipments (CLVS) Program expedites the importation of goods into Canada of approved shipments worth CAN$2,500 or less.  This program is available for both casual and commercial shipments.  Commercial Carriers/Couriers that want to participate in the Courier Low-Value Shipment (LVS) program must first submit an application.",Le programme des messageries d’expéditions de faible valeur accélère l’importation des marchandises au Canada pour les expéditions autorisées d’une valeur de 2 500 $ CAN ou moins. Le programme est offert pour les expéditions occasionnelles ou commerciales. Les transporteurs commerciaux et les services de messagerie qui souhaitent participer au programme des messageries d’expéditions de faible valeur doivent d’abord présenter une demande d’adhésion.,,, Admissibility Determination,Détermination de l'admissibilté,NA,econom,NA,N,N,ND,ND,0,0,0,0,5,0,NA,N,N,Y,NA,Y,,,
2016-2017,721,Trusted Trader Application- Partners in Protection (PIP),Demande de négociant digne de confiance - Partenaires en protection (PEP),Canada Border Services Agency | Agence des services frontaliers du Canada,Canada Border Services Agency | Agence des services frontaliers du Canada,extern,reg,prior,"A cooperative program between private industry and the CBSA designed to streamline and make border processes more efficient for low-risk, pre-approved businesses recognized as trusted traders. Membership requires the completion of a two part application process.","Il s’agit d’un programme de coopération entre l’ASFC et le secteur privé qui vise à rationaliser les processus frontaliers et à les rendre plus efficaces pour les entreprises à faible risque préapprouvées reconnues comme des négociants dignes de confiance. Pour adhérer au programme, les deux volets du processus de demande doivent être achevés.",,,Trusted Trader,Négociants dignes de confiance,NA,econom,NA,N,Y,ND,ND,201,0,0,0,0,0,Y,Y,Y,Y,Y,Y,,,
2016-2017,722,Trusted Trader Application- Customs Self-Assessment (CSA),Demande de négociant digne de confiance - Programme d'autocotisation des douanes (PAD),Canada Border Services Agency | Agence des services frontaliers du Canada,Canada Border Services Agency | Agence des services frontaliers du Canada,extern,reg,prior,"Membership for low-risk, pre-approved importers, carriers and registered drivers that simplifies many of the import border requirements to process low-risk shipments  more quickly and efficiently at the border. Membership requires the completion of a two part application process.","Il s’agit d’un programme d’adhésion pour les importateurs, les transporteurs et les chauffeurs inscrits préapprouvés qui présentent un faible risque; ce programme simplifie un grand nombre des exigences frontalières relatives aux importations afin que les expéditions à faible risque soient traitées plus rapidement et efficacement à la frontière. Pour adhérer au programme, les deux volets du processus de demande doivent être achevés.",,,Trusted Trader,Négociants dignes de confiance,NA,econom,NA,N,Y,ND,ND,0,0,0,0,56,0,NA,N,N,N,N,N,,,
2016-2017,731,Customs Bonded Warehouse Licence Application,Agrément d'entrepot de stockage des douanes,Canada Border Services Agency | Agence des services frontaliers du Canada,Canada Border Services Agency | Agence des services frontaliers du Canada,extern,reg,non,"The CBSA receives and processes Customs Bonded Warehouse applications that allows private sector operated facilities (regulated by the CBSA) to store imported goods with a complete deferral of customs duties, anti-dumping and countervailing duties and excise duties and taxes, including the goods and services tax and the harmonized sales tax. Importers only pay duties and taxes on the portion of goods entering the Canadian market.","L'ASFC reçoit et traite les demandes d'agrément d'entrepôt de stockage des douanes permettant au installations du secteur privé (réglementées par l'ASFC) de stocker des marchandise importées avec report complet des droits de douanes, des droits antiduping et compensateurs et des droits et taxes d'accise, notament la taxe sur les produits et services et la taxe de vente harmonisée. Les importateurs ne paient des droits et taxes que sur la portion des marchandises qui entre sur le marché canadien.",,,Trade Compliance,Conformité dans les programmes commerciaux,NA,econom,NA,N,Y,ND,ND,0,0,0,0,15,0,NA,N,N,N,N,N,,,
2016-2017,733,Customs Sufferance Warehouse Licence Application,Agrément d'entrepôt d'attente des douanestbe,Canada Border Services Agency | Agence des services frontaliers du Canada,Canada Border Services Agency | Agence des services frontaliers du Canada,extern,reg,non,"An application to operate a customs sufferance warehouse is sent to the CBSA, which must ensure that the applicant meets the requirements as stated under the Customs Sufferance Warehouses Regulations. If all regulatory requirements are satisfied, the CBSA will issue a licence to operate a sufferance warehouse.","Lorsqu'une demande pour opérer à titre d'entrepôt d'attente des douanes est envoyée à l'ASFC, celle-ci doit s’assurer que le demandeur répond aux exigences prévues par le Règlement sur les entrepôts d’attente des douanes. S’il est répondu à toutes les exigences réglementaires, l’ASFC délivre l’agrément pour opérer à titre d’entrepôt d’attente.",,,Trade Policy,Politique commerciale,NA,econom,NA,N,Y,ND,ND,0,0,0,0,29,0,NA,N,N,N,N,Y,,,
2016-2017,734,Customs Brokers Licence Application,Agrément de courtier en douane,Canada Border Services Agency | Agence des services frontaliers du Canada,Canada Border Services Agency | Agence des services frontaliers du Canada,extern,reg,non,"Broker Examination: The CBSA administers the Customs Broker Professional Exam annually.  The CBSA must ensure that the Customs Broker Professional Exams are marked, recorded and mailed to candidates within four weeks from the date of the exam.     
Broker Licence: Applications for customs broker licences are sent to the CBSA, which must ensure that the applicant meets the requirements as stated under the Customs Brokers Licensing Regulations. If all regulatory requirements are satisfied, the CBSA will issue a customs broker licence.","L’ASFC administre l’examen de compétences professionnelles des courtiers en douane tous les ans. Elle doit veiller à ce que les examens soient notés et enregistrés, et à ce que les résultats soient postés aux candidats dans un délai de 4 semaines à compter de la date de l’examen. Lorsqu’une demande d’agrément de courtier en douane est envoyée à l’ASFC, celle-ci doit s’assurer que le demandeur répond aux exigences prévues par le Règlement sur l’agrément des courtiers en douane. S’il est répondu à toutes les exigences réglementaires, l’ASFC délivre l'agrément de courtier en douane",,, Trade Policy,Politique commerciale,NA,econom,NA,Y,N,ND,ND,0,0,0,0,127,0,NA,N,N,N,N,Y,,,
2016-2017,737,Release Prior to Payment Privilege,Privilège de la mainlevée avant le paiement,Canada Border Services Agency | Agence des services frontaliers du Canada,Canada Border Services Agency | Agence des services frontaliers du Canada,extern,reg,non,Importers and customs brokers post security with the CBSA to obtain release of goods with deferred accounting and payment privileges. The security and billing information is entered into the Customs Commercial System and new clients are issued an account security number. This service also includes changes to security where the client already has an account security number.,"Les importateurs et les courtiers en douane déposent une garantie auprès de l’ASFC pour obtenir le privilège de la mainlevée des marchandises avec déclaration en détail et paiement reportés. L’information sur la garantie et la facturation est entrée dans le Système des douanes pour le secteur commercial, et les nouveaux clients se voient attribuer un numéro de compte-garantie. Ce service comprend en outre les changements à la garantie pour le client qui possède déjà un numéro de compte-garantie.",,, Trade Policy,Politique commerciale,NA,econom,NA,N,Y,ND,ND,0,0,0,0,1104,0,NA,N,N,N,N,N,,,
2016-2017,740,Duties Relief Program Application,Exonération des droits,Canada Border Services Agency | Agence des services frontaliers du Canada,Canada Border Services Agency | Agence des services frontaliers du Canada,extern,reg,non,"The CBSA receives and processes Duties Relief Program applications that enable qualified companies to import goods without paying duties, as long as they eventually export the goods. Before export, companies can further manufacture or use the goods in a limited manner without having to pay duties.","L'ASFC reçoit et traite les demandes du Programme d'exonération des droits, qui permet aux entreprises admissibles d'importer des marchandises sans payer les droits, pourvu qu'elles exportent par la suite les marchandises. Avant de les exporter, les entreprises peuvent transformer ou utiliser les marchandises d'une manière limitée sans avoir à payer les droits sur celles-ci",,,  Trade Compliance,Conformité dans les programmes commerciaux,NA,econom,NA,N,Y,ND,ND,0,0,0,0,26,0,NA,N,N,N,N,N,,,
