fiscal_yr,service_id,service_name_en,service_name_fr,department_name_en,department_name_fr,external_internal,service_type,special_designations,service_description_en,service_description_fr,service_url_en,service_url_fr,program_name_en,program_name_fr,last_GBA,client_target_groups,info_service,service_fee,cra_business_number,use_of_sin,service_channels,online_applications,web_visits_info_service,calls_received,in_person_applications,postal_mail_applications,other_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr
2017-2018,144,"AgriCompetitiveness

Formerly
AgriCompetitiveness Program 
Fostering Business Development",Programme Agri-compétitivité,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides support to national not-for-profit organizations to undertake activities that support agri-businesses to transition, adapt and improve their profitability and resilience by nurturing entrepreneurial capacity.","Offre de l'aide aux organisations nationales sans but lucratif pour réaliser des activités permettant aux entreprises agricoles d'effectuer la transition, de s'adapter et d'améliorer leur rentabilité et leur résilience en développant la capacité entrepreneuriale.",http://www.agr.gc.ca/eng/programs-and-services/agricompetitiveness-program/?id=1517335776475,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-competitivite/?id=1517335776475,AgriCompetitiveness,Agri-compétitivité,NA,econom,NA,N,Y,NA,ND,8,1531,0,0,0,1,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,145,Agricultural Youth Green Jobs Initiative,Initiative de stage en agroenvironnement,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Help fund internships for post-secondary graduates working in the agriculture industry,Aide à financer des stages à l'intention des détenteurs d'un diplôme d'études postsecondaires qui travaillent dans le secteur agricole.,"http://www.agr.gc.ca/eng/programs-and-services/agricultural-youth-green-jobs-initiative/green-farms-stream-step-1-what-this-program-offers/?id=1459879871410

http://www.agr.gc.ca/eng/programs-and-services/agricultural-youth-green-jobs-initiative/green-internships-stream-step-1-what-this-program-offers/?id=1459887524516","http://www.agr.gc.ca/fra/programmes-et-services/initiative-de-stage-en-agroenvironnement/volet-a-la-ferme-etape-1-ce-qu-offre-ce-programme/?id=1459879871410

http://www.agr.gc.ca/fra/programmes-et-services/initiative-de-stage-en-agroenvironnement/volet-organisations-etape-1-ce-qu-offre-ce-programme/?id=1459887524516",Career Focus Program (AYGJI is an initiaitve under te borader YES Career Focus program),Programme Objectif carrière (initiative de stage en agroenvironnement de la SEJ - Objectif carrière),NA,econom,NA,N,Y,NA,ND,267,7566,400,0,0,29,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,146,"Canadian Agricultural Adaptation Program 
(2014-2019)","Programme canadien d'adaptation agricole
(2014-2019)",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides support to the agriculture, agri-food, and agri-based products sector to seize opportunities, respond to new and/or emerging issues, and pathfind and/or pilot solutions to new and ongoing issues to adapt and remain competitive.","Aide le secteur de l'agriculture, de l'agroalimentaire et des produits agroindustriels à saisir les débouchés, à réagir aux enjeux nouveaux et émergents et à trouver et à tester des solutions aux problèmes nouveaux et courants afin de s'adapter et de demeurer concurrentiel.",http://www.agr.gc.ca/eng/programs-and-services/canadian-agricultural-adaptation-program-2014-2019/?id=1396016168338,http://www.agr.gc.ca/fra/programmes-et-services/programme-canadien-d-adaptation-agricole-2014-2019/?id=1396016168338,Canadian Agricultural Adaptation Program,Programme canadien d'adaptation agricole,NA,NGO,NA,N,Y,NA,ND,2,4545,24,0,0,74,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,147,Agricultural Greenhouse Gas Program,Programme de lutte contre les gaz à effet de serre en agriculture,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Helps producers find ways to mitigate greenhouse gas (GHG) emissions from their farming operations,Aide les producteurs à trouver des moyens d'atténuer les émissions de gaz à effet de serre (GES) liées à leurs activités agricoles.,http://www.agr.gc.ca/eng/programs-and-services/agricultural-greenhouse-gases-program-step-1-what-this-program-offers/?id=1461247059955,http://www.agr.gc.ca/fra/programmes-et-services/programme-de-lutte-contre-les-gaz-a-effet-de-serre-en-agriculture-etape-1-ce-qu-offre-ce-programme/?id=1461247059955,Agricultural Greenhouse Gases,Programme de lutte contre les gaz à effet de serre en agriculture,NA,NGO,NA,N,NA,NA,ND,0,3964,0,0,0,45,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,149,Market Access Single Window - Market Intelligence and Information Service,Guichet unique pour l'accès aux marchés - Services de renseignements sur les marchés,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides market intelligence reports and trade data to the agriculture, agri-food and seafood industries to increase the Canadian sector's competitiveness in global markets and provides coordinated direct market research reports through provinces to industry to help increase their international business knowledge in order to make more informed business decisions","Offre des rapports sur les marchés et des données commerciales aux industries agricoles, agroalimentaires et des produits de la mer afin d'accroître la compétitivité du secteur canadien sur les marchés mondiaux, et fournit à l'industrie des rapports coordonnés sur les études de marché par l'entremise des provinces  afin d'améliorer ses connaissances sur le commerce international et de lui permettre de prendre de meilleures décisions d'affaires.",http://www.agr.gc.ca/eng/industry-markets-and-trade/agri-food-trade-services-for-exporters/single-window-contact-for-agri-food-trade-services/?id=1458757288711,http://www.agr.gc.ca/fra/industrie-marches-et-commerce/services-aux-exportateurs-de-produits-agroalimentaires/guichet-unique-pour-communiquer-avec-le-service-d-exportation-agroalimentaire/?id=1458757288711,Global Market Information and Analysis,Services de renseignements sur les marchés,NA,econom,NA,N,N,NA,ND,0,14130,12,17,0,87,NA,NA,Y,Y,Y,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,150,Market Access Single Window - Market Access Services,Guichet unique pour l'accès aux marchés - Services d'accès aux marchés,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides a single window email account that allows for 2-way communication with external stakeholders (industry, provinces, territories) on market access through three functions: 
-Incoming requests for information from outside stakeholders;
 - Mechanism to broadcast messages of wide interest to stakeholders;
 - Mechanism to solicit information or feedback from outside stakeholders","Offre un compte courriel à guichet unique qui permet une communication bilatérale avec des intervenants externes (industrie, provinces, territoires) sur l'accès aux marchés grâce à trois fonctions : il répond aux demandes d’information des intervenants externes; il diffuse des messages d’intérêt général aux intervenants; il sollicite de l’information ou des commentaires auprès des intervenants externes",http://www.agr.gc.ca/eng/industry-markets-and-trade/agri-food-trade-services-for-exporters/single-window-contact-for-agri-food-trade-services/?id=1458757288711,http://www.agr.gc.ca/fra/industrie-marches-et-commerce/services-aux-exportateurs-de-produits-agroalimentaires/guichet-unique-pour-communiquer-avec-le-service-d-exportation-agroalimentaire/?id=1458757288711,Market Access,D'accès aux marchés,NA,econom,NA,N,N,NA,ND,0,4631,0,0,0,503,NA,NA,Y,Y,Y,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,152,Market Access Single Window - Canada Brand and Market Development,Guichet unique pour l'accès aux marchés - Marque Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides the Canadian food and agriculture industry with a competitive advantage, internationally and at home, through a set of tools to positively differentiate the sector.",Offre à l'industrie canadienne de l'alimentation et de l'agriculture un avantage concurrentiel au pays et à l'étranger grâce à différents outils permettant de différencier positivement le secteur,http://www.marquecanadabrand.agr.gc.ca/intro/index-eng.htm,http://www.marquecanadabrand.agr.gc.ca/intro/index-fra.htm,Canada Brand,Marque Canada,NA,econom,NA,N,N,NA,ND,19,8840,9,0,0,2,Y,NA,Y,Y,Y,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service.",
2017-2018,132,Saint-Hyacinthe Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Provides clients with direct access to sophisticated equipment and a versatile R&D environment to support agri-food companies with small-scale food processing and testing needs and fosters innovation in the area of food research.,Donne aux clients un accès direct à l'équipement de pointe et à un environnement de R-D polyvalent pour aider les entreprises agroalimentaires à répondre à leurs besoins de transformation d'aliments et d'évaluation à petite échelle et pour favoriser l'innovation dans le domaine de la recherche sur les aliments.,http://www.agr.gc.ca/eng/?id=1299270709562,http://www.agr.gc.ca/fra/?id=1299270709562,Agriculture and Agri-Food Canada Food Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,NA,econom,NA,Y,N,NA,ND,0,2519,43,0,37,0,Y,NA,Y,Y,N,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service
 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,131,Office of Intellectual Property and Commercialization (OIPC),Bureau de la propriété intellectuelle et de la commercialisation (BPIC),Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Supports the development and transfer of the results of research efforts by the Science and Technology Branch (STB) of Agriculture and Agri-Food Canada (AAFC).,Appuie le développement et le transfert des résultats des activités de recherche par la Direction générale des sciences et de la technologie (DGST) d'Agriculture et Agroalimentaire Canada (AAC).,http://www.agr.gc.ca/eng/programs-and-services/office-of-intellectual-property-and-commercialization/?id=1296842751916,http://www.agr.gc.ca/fra/programmes-et-services/bureau-de-la-propriete-intellectuelle-et-de-la-commercialisation/?id=1296842751916,Office of Intellectual Properities and Commercialization,Bureau de la propriété intellectuelle et de la commercialisation,NA,econom,NA,N,N,NA,ND,80,1947,0,0,0,0,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,130,Drought Watch,Guetter la sécheresse,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides users with current and historic weather and agroclimate conditions, to see how current conditions differ from normal, to see where and how weather and climate conditions and events are impacting the sector, and to learn about ways to mitigate and adapt to the impacts of weather and climate on agricultural operations.","Fournit aux utilisateurs les conditions météorologiques et climatiques courantes et historiques pour voir comment les conditions actuelles diffèrent de la normale, pour comprendre où et comment les conditions et les phénomènes météorologiques et climatiques influent sur le secteur, pour voir les produits de prévisions à court terme et pour se renseigner sur les façons d'atténuer les effets des conditions météorologiques et du climat sur les activités agricoles et s'y adapter.",http://www.agr.gc.ca/eng/programs-and-services/drought-watch/?id=1461263317515,http://www.agr.gc.ca/fra/programmes-et-services/guetter-la-secheresse/?id=1461263317515,Drought Watch,Guetter la sécheresse,NA,econom,NA,N,N,NA,ND,0,17982,67,0,0,352,NA,NA,NA,NA,Y,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,127,"Canadian Soil Information Service
(CanSIS)",Système d’information sur les sols du Canada (SISCan),Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"CanSIS works in partnership with the provincial soil mapping groups to maintain and provide access to Canada’s detailed and high level soils data, and other related information.",SISCan collabore avec des groupes provinciaux de cartographie du sol pour maintenir et offrir l'accès aux données détaillées de haut niveau sur les sols du Canada et d'autres renseignements connexes.,http://sis.agr.gc.ca/cansis/,http://sis.agr.gc.ca/siscan/,Canadian Soil Information System,Système d’information sur les sols du Canada,NA,econom,NA,N,N,NA,ND,0,13743,14,116,0,0,NA,NA,NA,NA,Y,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service


The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,129,Geospatial Products,Produits géospatiaux,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides online access to agriculture-related maps, geospatial data and tools to help clients understand the geography of agriculture and make better decisions for environmentally responsible yet competitive agriculture",Offre un accès en ligne aux cartes données géospatiales et outils liés à l'agriculture pour aider les clients à comprendre la géographie de l'agriculture et à prendre de meilleures décisions pour une agriculture respectueuse de l'environnement tout en étant compétitives.,http://www.agr.gc.ca/eng/?id=1343066456961,http://www.agr.gc.ca/fra/?id=1343066456961,Geospatial Products,Produits géospatiaux,NA,econom,NA,N,N,NA,ND,0,48730,0,0,0,60,NA,NA,NA,NA,Y,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
